,sa_finance1_cocode,sa_company_name,sa_total_income,sa_sales,sa_total_assets,sa_pat,sa_total_liabilities,sa_gross_working_capital_cosm,sa_current_assets_incl_st_invest_loans,sa_current_liabilities,sa_st_trade_bills_receivables,sa_st_trade_receivables,sa_nf_operating_expenses,sa_f_operating_expenses,sa_dep_owned_ast,sa_retained_profits,sa_pbit,sa_pbdita_net_of_peoifi,sa_pbpt_net_of_peoi,sa_total_capital,sa_gross_fixed_assets,sa_pbdita,sa_cost_of_goods_sold,sa_cost_of_sales,sa_total_expense,sa_net_sales,sa_depreciation,sa_non_current_assets,sa_net_fixed_assets,sa_gross_fixed_assets.1,sa_inc_fin_serv,sa_net_working_capital,sa_non_current_liabilities,sa_tot_inc_net_of_pe,sa_sales_n_chg_in_stk,sa_chg_in_assets_with_no_chg_in_efficiency,sa_chg_in_efficiency_with_no_chg_in_assets,sa_chg_in_efficiency_on_chg_in_assets,sa_reported_pat,sa_diff_in_pat,sa_pbpt,sa_pbt,sa_pbit_net_of_peoifi,sa_cash_profit,sa_sales_net_fixed_assets,sa_total_income_avg_tot_asset_net_miscexp_now_reval,sa_chg_in_efficiency_in_use_of_assets,sa_pc_chg_in_efficiency_with_no_chg_in_assets,sa_pc_chg_in_assets_with_no_chg_in_efficiency,sa_pc_chg_in_efficiency_on_chg_in_assets,sa_nf_oper_exp_pc_total_exp,sa_f_oper_exp_pc_total_exp,sa_fin_serv_exp_pc_total_exp,sa_pbpt_net_of_peoi_inc_fin_serv,sa_pat_cont_ops_pc_inc_cont_ops,sa_pat_discont_ops_pc_inc_discont_ops,sa_total_provisions_pc_pbdita,sa_write_offs_pc_pbdita,sa_depreciation_pc_pbdita,sa_amortisation_pc_pbdita,sa_fin_serv_exp_pc_pbdita,sa_prov_direct_tax_pc_pbdita,sa_pat_pc_pbdita,sa_pbdita_pc_total_inc,sa_pbt_pc_total_inc,sa_pat_pc_total_inc,sa_cash_profit_pc_total_inc,sa_pat_net_of_pe_pc_tot_inc_net_of_pe,sa_pat_net_of_pe_pc_avg_networth,sa_pat_pc_avg_networth,sa_cash_profit_pc_avg_networth,sa_pbpt_net_of_peoi_pc_avg_capital_employed,sa_pat_net_of_pe_pc_avg_capital_employed,sa_pat_pc_avg_capital_employed,sa_pat_net_of_pe_pc_avg_tot_asset_net_menow_reval,sa_pc_chg_in_profitability_with_no_chg_in_income,sa_st_trade_bills_receivables_pc_current_assets_incl_st_invest_loans,sa_quick_ratio,sa_current_ratio,sa_debt_equity,sa_cash_n_bank_no_fd_security_current_liab_n_prov,sa_cash_n_bank_no_fd_security_cost_of_sales_per_day,sa_sales_avg_debtors,sa_creditors_turnover,sa_total_inc_net_of_pe_compensation_to_empl,sa_sales_avg_gfa_net_of_reval,sa_sales_net_repairs_avg_nfa_net_of_reval,equity_facevalue_on_stkdate,eps_on_stkdate,equity_bv_on_stkdate,high_price,stock_returns,market_cap,traded_qty
64,12790,AMBANI ORGANICS LTD.,759.9,757.4,477.8,16.8,477.8,265.8806,339.5,327.0,182.0,182.0,744.4,766.2,6.0,16.8,44.0,47.5,21.1,38.1,121.3,50.0,571.17,715.8,777.6,652.7,6.0,138.3,105.0,121.3,1.4,-27.1,89.4,759.9,791.9,152.9991,13.8942,3.6067,16.8,0.0,22.2,22.2,41.5,23.6,721.3333,1.7656,1.9222,8.1491,89.7355,2.8005,95.7305,98.534,2.8035,15.0714,2.2108,0.0,0.0,0.0,12.0,0.0,43.6,10.8,33.6,6.5798,2.9214,2.2108,3.1057,2.2108,32.7485,32.7485,46.0039,10.8539,8.642000000000001,8.642000000000001,3.9033,42.8537,53.6082,0.5878,0.9176,2.6884,0.0228,3.8244,4.4176,2.5746,34.8578,6.4818,7.3038,10.0,3.3080000000000003,143.3,66.65,1.0083,338.4926,34000.0
65,12881,AMBER ENTERPRISES INDIA LTD.,19576.6,19503.6,15518.4,619.9,15518.4,6116.0617,8392.4,5710.9,3361.4,3361.4,17556.7,18024.8,431.6,619.9,1370.1,1728.7,893.7,314.5,7201.7,1801.7,17247.43,18192.3,18738.5,19257.1,431.6,7126.0,5212.6,7201.7,64.7,2269.1,770.0,19572.3,19285.4,3548.2623,-310.0112,-67.0512,619.9,0.0,902.0,891.7,1297.1,1141.0,374.1626,1.4065,1.2813,-9.7758,111.8902,-1.5817,93.6932,96.1913,2.4981,13.813,3.1665,0.0,0.0,0.5717,23.9552,0.0,25.981,15.0858,34.4064,9.2033,4.5549,3.1665,5.8284,3.1453,10.2752,10.347,19.0449,10.7437,7.4005,7.4522,4.4229,73.7371,40.0529,0.8207,1.3836,0.0572,0.2037,24.1764,6.1983,3.7887,46.7901,2.8708,3.8869,10.0,20.6096,9118.4,1328.9,1.1368,40166.6655,10960671.0
66,14039,AMRIT CORP. LTD.,779.3,543.6,2281.7,165.3,2281.7,100.4749,360.9,182.4,30.8,30.8,532.5,584.5,15.5,136.3,227.7,8.8,176.5,32.1,173.2,243.2,455.13,547.1,611.7,542.9,15.5,1920.8,148.5,173.2,235.2,156.9,95.7,778.9,541.3,36.3645,50.4746,2.6609,165.3,0.0,175.7,173.8,-6.7,190.8,366.0606,0.3404,0.7806,56.3962,40.6308,15.6017,87.0525,95.5534,8.5009,0.7504,21.2113,0.0,0.0,0.7812,6.3734,0.0,21.3816,3.4951,67.9688,31.2075,22.3021,21.2113,24.4835,21.3378,8.7297,8.6824,10.0218,8.2674,7.7849,7.7428,7.2594,57.7502,8.5342,1.4314,1.8185,0.0788,1.1659,33.4244,17.2571,29.622,10.6407,3.7974,4.4052,10.0,68.3735,2006.6,1900.0,1.1,5862.3793,24952.0
67,14299,JOHNSON CONTROLS-HITACHI AIR CONDITIONING INDIA LTD.,22659.4,22586.3,14513.7,1001.5,14513.7,11016.4875,10228.8,6490.5,4215.2,4215.2,20323.6,20402.7,529.2,952.4,1628.9,2087.0,1513.6,271.9,3457.4,2158.1,16953.3,21107.0,21482.2,21830.5,529.2,4284.9,2430.0,3457.4,34.9,2496.7,1857.1,22656.6,22410.6,2038.7011,-394.4085,-38.1926,1001.5,0.0,1549.8,1516.4,1557.8,1503.7,929.4774,1.6704,1.3411,-24.5569,126.9349,-2.0747,94.6067,94.9749,0.3682,43.3696,4.4198,0.0,1.0611,0.4865,24.5216,0.0,3.6653,23.859,46.4066,9.5241,6.6921,4.4198,6.6361,4.4168,20.5181,20.5345,30.8315,28.8962,19.1044,19.1197,7.3771,58.1473,41.2091,0.7245,1.3452,0.0237,0.0495,6.2341,6.3665,3.1036,16.0708,6.9151,9.0497,10.0,36.8028,5859.3,2757.95,1.0894,73545.90299999999,63198.0
68,14592,ANAND PROJECTS LTD.,348.4,293.3,7474.9,33.7,7474.9,0.0,7473.5,6594.2,1879.5632660550457,1871.070374449339,297.4,297.4,0.1,33.7,50.9,-4.1,50.9,9.3,0.8,51.0,286.84,297.5,314.7,292.0,0.1,1.4,0.3,0.8,55.1,508.3,3.2,348.4,293.3,-4.9987,-721.6674,3.366,33.7,0.0,50.9,50.9,-4.2,34.5,97766.6667,0.0461,20.4034,99.7743,0.6911,-0.4221,94.5027,94.5027,0.0,0.9238,9.6728,0.0,0.0,0.0,0.1961,0.0,0.0,33.7255,66.0784,14.6383,14.6096,9.6728,9.9024,9.6728,3.9207,3.9207,4.0137,5.9217,3.9207,3.9207,0.4455,-473.2317,0.0,0.9549,1.0771,0.0,0.9309,13.3731,24.648626711362027,0.4176,33.181,366.625,733.25,8.292570798087532,11.232970209635896,14048.720117690327,407.1857484369253,1.1156000000000001,44672.25301441706,4640900.221772711
69,15214,ANDHRA BANK,209223.3,13844.425243445696,2431382.2,-34125.3,2431382.2,0.0,7433.169679389314,42441.1,1879.5632660550457,1871.070374449339,31674.0,158512.2,2094.9,-34125.3,175596.7,-31674.0,31099.6,11988.3,36031.1,177549.3,16445.13,33623.5,243348.6,12174.53191413238,1952.6,15538.921659981484,14653.5,36031.1,191564.4,197339.4,8114.080324324324,203460.5,13817.893488716241,20507.0024,-14328.5278,-1436.9746,-34125.3,0.0,48758.5,-54608.1,-33626.6,42965.3,0.0,0.0899,0.0223,-302.194,432.5003,402.194,13.0159,65.1379,52.122,0.1623,0.0,0.0,58.2185,0.0,1.0998,0.0,71.4383,-11.5364,-19.2202,84.8612,-26.1004,-16.3105,20.5356,-19.6048,-38.9158,-33.2934,41.9179,13.0605,-16.7513,-14.3312,-1.7136,99.9495,0.0,5.6462,5.6497,1.8301,3.7568,1730.8361,24.648626711362027,0.0,10.8531,0.0,0.0,10.0,-12.6386,126302.2,60.25,1.1004,54426.9649,58615136.0
70,15270,INTERNATIONAL PAPER A P P M LTD.,12850.9,12751.9,12152.1,830.7,12152.1,3334.665,2895.6,3255.5,708.3,708.3,10364.9,10629.7,658.2,830.7,1614.3,2215.5,1316.7,397.7,8727.7,2272.5,9577.79,11195.6,11848.7,12553.4,658.2,9256.5,7416.5,8727.7,24.2,-833.7,2895.5,12843.3,12580.4,-571.0238,1103.9907,-50.9669,830.7,0.0,1349.5,1264.6,1557.3,1677.8,171.9396,1.0313,-0.7992,229.0437,-118.4697,-12.4322,87.4771,89.712,2.2348,54.4091,6.4641,0.0,0.0528,3.6832,28.9637,0.0,11.6524,19.0935,36.5545,17.6836,9.8406,6.4641,13.0559,6.7358,16.5308,15.8735,32.0604,16.1217,10.5923,10.1711,6.9427,88.5548,24.4613,0.2444,0.7684,0.3834,0.0462,5.4282,18.2836,5.4634,8.4384,1.4609,1.6511,10.0,27.0354,6094.7,591.15,1.1051,23251.5533,1327741.0
71,16191,ANJANI PORTLAND CEMENT LTD.,3748.4,3735.9,3826.9,234.4,3826.9,1944.6214,955.6,964.3,257.4,257.4,3155.8,3218.3,187.5,204.0,419.4,594.4,352.8,252.9,3177.2,606.9,1745.02,3321.3,3528.3,3594.5,187.5,2871.3,2589.1,3177.2,8.4,-160.9,584.3,3748.4,3750.2,467.1183,-296.6048,-38.3136,234.4,0.0,356.9,356.8,406.9,468.1,144.2934,0.9809,0.3024,-224.3606,353.3422,-27.4963,89.4425,91.2139,1.7714,42.0,6.2533,0.0,0.0165,0.0,30.8947,0.0,10.2982,20.1681,38.6225,16.1909,9.5187,6.2533,12.488,6.2533,10.9288,10.9288,21.8249,13.2654,8.8135,8.8135,6.134,103.8108,26.936,0.4263,0.8348,0.1591,0.0951,11.715,16.4468,8.2081,20.7783,1.2073,1.4369,10.0,10.6977,2307.5,274.0,1.1406,6742.4308,40545.0
72,16575,SHAILY ENGINEERING PLASTICS LTD.,3220.8,3196.7,2877.7,238.9,2877.7,931.5878,1591.3,1310.5,684.3,684.3,2649.5,2724.7,145.0,188.9,422.2,558.8,357.7,83.2,1353.3,567.2,2511.72,2782.8,2993.5,3183.2,145.0,1286.4,1075.3,1353.3,19.1,-65.8,296.7,3219.5,3208.3,617.6943,39.0609,9.4448,238.9,0.0,347.0,343.6,413.8,382.4,297.2845,1.3033,1.3845,5.8632,92.7191,2.6445,88.5084,91.0205,2.5121,18.7277,7.4174,0.0,0.0,0.5994,25.5642,0.0,13.2581,18.4591,42.1192,17.6105,10.6682,7.4174,11.8728,7.8677,22.0472,20.7938,33.284,17.7307,12.5558,11.842,10.2497,44.2301,43.0026,0.5403,0.9507,0.861,0.0276,4.8268,5.5663,7.5963,11.0788,2.634,3.1712,10.0,32.0253,1300.4,1520.0,1.1672,12237.2424,301603.0
73,16635,SHIVA TEXYARN LTD.,3614.4,3589.6,3633.0,113.2,3633.0,1205.0712,1265.6,1391.0,420.1,420.1,3211.6,3404.4,134.4,88.3,340.1,450.0,131.2,129.6,2351.5,474.5,2922.51,3270.6,3573.2,3584.3,134.4,2367.4,2090.2,2351.5,8.4,-183.0,1131.9,3599.6,3661.6,-551.5105,366.1283,-52.4177,113.2,0.0,147.3,146.5,315.6,246.7,171.7348,1.0076,0.3968,-153.9648,231.922,24.8062,89.8802,95.2759,5.3957,15.619000000000002,3.1319,0.0,0.1686,0.0,28.3246,0.0,40.6322,7.0179,23.8567,13.128,4.0532,3.1319,6.8255,2.742,9.5358,10.9367,23.8346,4.7421,3.5674,4.0915,2.7516,115.9697,33.1937,0.3748,0.8701,1.671,0.0628,9.8766,9.0202,7.9736,8.7369,1.5596,1.7035,10.0,7.6141,1089.5,669.9,1.0834,8320.7655,138199.0
74,16893,ANSHUNI COMMERCIALS LTD.,2.3,1.3,16.7,-0.2,16.7,0.0,16.5,7744.673562152134,1879.5632660550457,1871.070374449339,1.8,2.2,0.1,-0.2,0.2,-0.5,0.0,2.4,1.0,0.3,1.43,1.9,2.5,1.3,0.1,0.2,0.2,1.0,1.0,16.5,0.2,2.3,1.3,-0.0248,0.2275,-0.0027,-0.2,0.0,-0.2,-0.2,-0.6,-0.1,650.0,0.1373,-1.0,113.7313,-12.3894,-7.2417,72.0,88.0,16.0,0.0,-8.6957,0.0,0.0,0.0,33.3333,0.0,133.3333,0.0,-66.6667,13.0435,-8.6957,-8.6957,-4.3478,0.0,0.0,-1.2048,-0.6024,0.0,0.0,-1.1976,0.0,100.0,0.0,8.103370342089189,17.407201221747098,0.0121,5.002429596823458,3016.0526,24.648626711362027,26.285142996856447,11.5,1.3,5.2,8.292570798087532,11.232970209635896,14048.720117690327,407.1857484369253,1.1156000000000001,44672.25301441706,4640900.221772711
75,17206,ANUH PHARMA LTD.,2486.2,2412.3,2091.9,165.1,2091.9,957.8312,1541.9,573.2,709.2,709.2,2227.2,2254.1,18.3,89.7,273.5,217.9,241.1,125.3,204.7,291.8,2045.68,2235.8,2353.9,2379.8,18.3,550.0,166.8,204.7,68.4,841.9,9.5,2482.3,2445.1,96.7389,138.1109,5.9502,165.1,0.0,246.6,234.1,199.6,192.4,1446.223,1.2485,2.9277,57.355,40.1739,3.829,94.6174,95.7602,1.1428,3.5249,6.6407,0.0,0.0,4.2838,6.2714,0.0,9.2186,23.6463,56.5798,11.7368,9.416,6.6407,7.7387,6.494,11.1107,11.3795,13.2612,16.4793,11.0181,11.2846,8.095,135.8758,45.9952,1.8867,2.4362,0.0163,0.675,6.5301,3.7704,4.134,27.5811,12.1435,14.1942,5.0,8.2056,1553.1,194.9,1.0646,4753.1232,76301.0
76,17728,APAR INDUSTRIES LTD.,56468.3,56359.1,40433.5,1440.5,40433.5,26453.6665,34290.6,27363.5,17105.5,17105.5,52096.4,53611.8,495.9,979.8,3814.7,4201.7,2299.6,382.7,6597.2,4310.6,47723.05,52640.7,54966.8,55262.4,495.9,6142.9,5441.8,6597.2,109.2,3234.5,1634.2,56468.3,56298.1,10685.6661,-5566.2473,-1133.3187,1440.5,0.0,2299.3,2213.6,3705.8,2052.7,1035.6702,1.5444,0.6445,-139.6414,268.0732,-27.6247,94.7779,97.5349,2.7569,21.0586,2.551,0.0,1.6471,0.341,11.5042,0.0,35.1552,17.9349,33.4176,7.6337,3.9201,2.551,3.6351,2.5515,14.6451,14.6421,20.8648,18.2672,11.4452,11.4428,3.9405,125.7354,49.8839,0.7107,1.1144,0.298,0.0816,16.0011,3.7896,2.3415,46.4416,9.4107,11.1407,10.0,41.1094,10565.7,869.95,1.0694,32995.2033,184913.0
77,17809,APCOTEX INDUSTRIES LTD.,5477.7,5400.4,3576.5,386.4,3576.5,1421.4339,1906.2,902.7,983.5,983.5,4723.7,4761.8,121.4,321.8,602.7,665.1,578.9,104.1,994.3,724.1,4200.37,4845.4,5079.7,5260.5,121.4,1670.3,785.1,994.3,73.3,958.8,205.4,5474.4,5388.8,457.7212,238.6249,22.9539,386.4,0.0,564.6,557.8,543.7,496.7,687.8614,1.6495,2.4684,33.1746,63.6343,8.5818,92.9917,93.7418,0.75,7.8977,7.0541,0.0,0.29,0.6491,16.7656,0.0,5.2617,23.6708,53.3628,13.2191,10.1831,7.0541,9.0677,7.3323,17.105999999999998,16.4667,21.1672,22.7501,15.7746,15.1851,12.0876,61.0202,51.5948,1.4933,2.0580000000000003,0.0705,0.3614,5.484,5.8601,11.1305,17.4399,5.4492,6.4955,5.0,43.7401,2575.9,668.75,1.1563,13334.5237,177789.0
78,17908,APEX HOME FINANCE LTD.,17.1,13844.425243445696,242.6,4.4,242.6,0.0,11.9,2.9,10.1,10.1,5.2,11.2,626.3072172619047,4.4,11.9,-5.2,5.9,59.2,0.1,11.9,3.01,4.9,12.7,12174.53191413238,622.8142377935146,230.7,0.1,0.1,17.1,7.5,8114.080324324324,17.1,13817.893488716241,0.4041,4.3517,0.1442,4.4,0.0,5.9,5.9,-5.2,4.4,0.0,0.0712,0.6364,88.8106,8.2475,11.1894,40.9449,88.189,47.2441,0.345,25.731,0.0,0.0,0.0,0.0,0.0,50.4202,12.605,36.9748,69.5906,34.5029,25.731,25.731,25.731,1.864,1.864,1.864,2.4995,1.864,1.864,1.8322,150.4327,84.8739,2.7045,2.7045,0.0,0.0227,7.449,0.0,26.285142996856447,3.9767,0.0,0.0,10.0,0.7432,238.2,42.05,1.0565,248.9351,119.0
79,18093,APOLLO FINVEST (INDIA) LTD.,19.2,0.9,186.2,10.9,186.2,34.9444,57.3,0.7,1879.5632660550457,1871.070374449339,6.6,7.1,0.9,10.9,11.4,-5.7,10.7,37.3,17.8,12.3,4.73,7.4,8.3,0.9,0.9,128.9,10.9,17.8,17.8,33.6,0.7,18.7,0.9,1.2071,4.2134,0.3795,10.9,0.0,10.9,10.9,-6.6,9.6,8.2569,0.1068,0.3906,72.6441,20.812,26.1134,79.5181,85.5422,6.0241,0.6011,56.7708,0.0,0.0,0.0,7.3171,0.0,4.065,0.0,88.6179,64.0625,56.7708,56.7708,50.0,57.2193,6.6584,6.7828,5.9739,6.6584,6.6584,6.7828,5.9544,63.8331,0.0,12.5357,13.0,0.0,8.3214,1149.2568,0.2118,0.2857,3.6667,0.0506,0.0793,10.0,4.6366,172.3,94.5,1.05,345.6964,31169.0
80,18102,APOLLO HOSPITALS ENTERPRISE LTD.,72051.0,71830.2,92321.1,2332.0,92321.1,7379.6277,20768.9,12475.5,9018.1,9018.1,63814.9,66311.6,2720.0,1327.3,6270.7,8824.5,3803.6,695.6,46737.9,8990.7,55799.55,65577.6,70528.2,71678.7,2720.0,71552.2,37615.7,46737.9,195.8,6866.1,41264.3,72035.6,72639.4,5970.2184,2368.373,222.7086,2332.0,0.0,3774.0,3301.5,6104.5,5735.1,190.958,0.8185,1.1315,27.6637,69.735,3.1254,90.4814,94.0214,3.54,19.4259,3.2366,0.0,4.4913,0.7641,30.2535,0.0,27.7698,10.7834,25.9379,12.4782,4.5822,3.2366,7.9598,3.2917,6.6322,6.5225,16.0409,5.8974,3.6765,3.6157,2.6936,158.8534,43.4212,0.9247,1.5221,0.8234,0.2255,16.3955,8.8863,10.3681,6.4386,1.6103,1.9515,5.0,18.837,37536.6,1263.4,1.1321,173412.5544,5440911.0
81,18138,ADITYA BIRLA MONEY LTD.,1592.8,31.8,5231.0,95.7,5231.0,62357.4264,5028.3,4569.5,1412.9,1412.9,1323.1,1414.7,20.8,95.7,248.9,-1291.3,155.1,156.1,425.5,269.7,419.41,1343.2,1497.1,17.2,20.8,202.7,58.5,425.5,1558.8,-1582.7,11.1,1591.6,31.8,680.221,-217.732,-118.589,95.7,0.0,157.3,122.7,-1312.1,138.0,54.359,0.3972,0.2432,-63.3126,197.7962,161.4437,88.3775,94.496,6.1185,0.0995,6.0083,0.0,12.8291,0.0,7.7123,0.0,33.9637,10.0111,35.4839,16.9324,7.7034,6.0083,8.664,5.9374,24.0275,24.3326,35.0877,8.7255,5.3163,5.3838,2.3567,39.4982,28.099,0.3966,0.6546,5.1189,0.0671,17.663,0.0215,0.0422,3.0264,0.0665,0.4934,1.0,1.7785,471.3,105.0,1.2,5598.6181,5308147.0
82,18139,APOLLO SINDOORI HOTELS LTD.,1419.1,1399.3,558.1,70.3,558.1,311.7701,459.7,210.3,336.2,336.2,1297.3,1303.2,9.3,67.2,109.7,102.0,89.9,13.0,55.2,119.0,993.87,1304.8,1348.8,1391.4,9.3,98.4,38.2,55.2,3.1,213.2,59.8,1407.2,1399.3,154.9967,-59.739,-6.9577,70.3,0.0,103.8,100.3,92.7,73.5,3663.089,2.6941,1.6069,-67.6546,175.5342,-7.2729,96.1818,96.6192,0.4374,29.0,4.9538,0.0,0.0,2.9412,7.8151,0.0,4.958,25.2101,59.0756,8.3856,7.0679,4.9538,5.1793,4.3491,27.1879,31.2306,32.6522,34.451,23.4528,26.94,11.6184,-3248.7777,73.1347,1.8271,1.9034,0.0223,0.3619,23.8895,4.1851,4.5902,1.8426,20.0905,35.9255,10.0,58.913999999999994,285.9,1995.95,1.1477,2386.062,16000.0
83,18151,APOLLO TYRES LTD.,106780.3,104285.9,150985.6,6223.9,150985.6,27543.9925,66391.6,26959.4,5525.9,5525.9,91974.7,93370.7,3643.8,4385.9,10069.2,11218.6,7291.5,572.1,84721.1,13713.0,81312.48,96895.2,99463.8,102610.6,3643.8,84594.0,57138.7,84721.1,1112.7,10104.5,30040.3,106755.1,103193.3,30721.9773,-18798.2768,-5740.9005,6223.9,0.0,8673.2,8673.2,7574.8,10409.0,182.5136,0.8021,0.1985,-304.0415,496.8942,-81.8349,92.4705,93.8741,1.4035,6.553,5.8287,0.0,0.0,0.0,26.5719,0.0,10.1801,17.8612,45.3869,12.8423,8.1225,5.8287,9.7481,5.8065,9.8456,9.8856,16.533,8.6074,7.3174,7.3472,4.6564,120.0806,8.3232,0.6366,1.2092,0.3505,0.1293,9.8137,22.1527,6.9788,15.6402,1.3289,1.9847,1.0,13.4537,74774.9,307.25,1.0518,171643.5965,11145442.0
84,18396,APTECH LTD.,1808.8,1591.4,2826.2,190.6,2826.2,467.9494,1339.9,283.6,576.0,576.0,1421.0,1423.0,75.1,46.5,291.6,167.9,119.9,398.9,355.3,366.7,1004.62,1492.1,1615.7,1588.5,75.1,1486.3,217.1,355.3,29.1,852.6,20.7,1620.7,1588.9,30.7445,487.3408,11.7147,190.6,0.0,289.6,227.9,92.8,296.7,733.0263,0.6671,8.3236,91.9858,5.803,2.4235,87.9495,88.0733,0.1238,4.1203,10.5374,0.0,12.2989,4.5269,20.48,0.0,0.5454,10.1718,51.9771,20.2731,12.5995,10.5374,16.4031,1.3019,0.8934,8.0701,12.5625,5.0766,0.8934,8.0701,0.7782,106.8473,42.9883,3.9174,3.9707,0.0,1.5986,93.8613,3.2458,3.7421,2.5603,4.4809,6.2703,10.0,0.5289,2443.7,386.25,1.2,15063.8083,4218589.0
85,19297,ARFIN INDIA LTD.,5477.2,5469.7,2127.8,217.0,2127.8,1588.3165,1669.7,1068.1,759.5,759.5,5035.5,5137.6,15.6,207.3,442.7,451.9,341.7,132.4,354.9,458.3,4081.02,5029.6,5277.9,5306.5,15.6,458.1,304.7,354.9,7.5,468.7,134.8,5477.2,5487.4,1361.4765,35.2336,11.7899,217.0,0.0,340.6,339.9,436.3,235.5,1795.1099,2.9381,3.0135,2.5015,96.6614,0.9677,95.4073,97.3417,1.9345,45.56,3.9619,0.0,0.0,0.1527,3.4039,0.0,22.278,26.8165,47.3489,8.3674,6.2057,3.9619,4.2996,3.982,31.7976,31.6373,34.3345,23.2354,14.8307,14.7559,11.6994,35.2356,45.4872,0.6823,1.4018,1.1572,0.0311,2.6343,8.1491,14.2142,90.6821,18.1808,21.1594,10.0,16.6721,860.0,597.0,1.1507,6706.893,234144.0
86,19480,ARIHANT CAPITAL MARKETS LTD.,965.2,13844.425243445696,2469.2,200.3,2469.2,0.0,2211.6,1508.5,1157.1,1157.1,201.5,669.1,9.3,183.0,754.4,-201.5,285.7,104.1,191.7,763.7,103.21,206.7,764.9,12174.53191413238,9.3,257.6,101.0,191.7,964.1,161.1,16.4,965.2,13817.893488716241,503.8744,-186.0897,-121.8846,200.3,0.0,286.8,286.8,-210.8,211.2,0.0,0.4988,0.2558,-94.9922,257.21,194.9922,26.3433,87.4755,61.1322,0.2963,20.7522,0.0,0.0,0.0,1.2178,0.0,61.2282,11.3264,26.2276,79.1235,29.714,20.7522,21.8815,20.7522,23.5675,23.5675,24.85,21.1732,14.8442,14.8442,10.3514,22.3366,52.3196,1.0107,1.1066,0.9712,0.2392,591.7344,0.0,0.012,7.8599,0.0,0.0,5.0,10.1909,990.1,183.9,1.1014,3733.485,61295.0
87,19642,ARIHANT'S SECURITIES LTD.,7.1,13844.425243445696,53.3,2.5,53.3,0.0,47.7,0.1,1879.5632660550457,1871.070374449339,4.0,4.3,626.3072172619047,2.5,3.1,-4.0,2.8,50.0,1.6,3.1,0.84,4.0,4.6,-1.6,622.8142377935146,5.6,1.6,1.6,7.1,47.2,2.3,7.1,13817.893488716241,0.0322,4.7975,0.0703,2.5,0.0,2.8,2.8,-4.0,2.5,0.0,0.1367,6.5333,97.9081,0.6577,2.0919,86.9565,93.4783,6.5217,0.3944,35.2113,0.0,0.0,0.0,0.0,0.0,9.6774,9.6774,80.6452,43.662,39.4366,35.2113,35.2113,35.2113,5.0761,5.0761,5.0761,5.6853,5.0761,5.0761,4.8123,14.4869,0.0,95.4,95.4,0.0,95.2,146.0,24.648626711362027,0.0,5.9167,0.0,0.0,10.0,0.5,50.5,8.34,1.0499,41.5,70400.0
88,19915,ARMAN FINANCIAL SERVICES LTD.,276.5,13844.425243445696,1575.0,32.1,1575.0,0.0,743.0,765.3,33.7,33.7,105.0,213.5,1.0,23.8,170.5,-105.0,58.6,69.2,24.0,171.5,46.46,105.5,244.4,-0.1,1.0,832.0,14.5,24.0,273.1,-669.6,398.5,273.1,13817.893488716241,66.1578,31.3754,12.4668,32.1,0.0,62.0,44.8,-106.0,49.2,0.0,0.2163,0.3026,28.5231,60.1435,71.4769,42.9624,87.3568,44.3944,0.2146,11.6094,0.0,2.3907,7.6385,0.5831,0.0,63.2653,7.4052,18.7172,62.0253,16.2025,11.6094,17.7939,10.509,7.3252,8.193,12.5574,5.1781,2.536,2.8364,2.2448,-150.8141,4.5357,0.0895,0.1255,2.5201,0.0454,236.9905,0.0,26.285142996856447,4.3418,0.0,0.0,10.0,5.8389999999999995,402.1,450.0,1.1,2531.4652,407841.0
89,19962,RESONANCE SPECIALTIES LTD.,399.5,395.8,370.8,-7.7,370.8,264.6794,202.6,116.3,67.3,67.3,342.6,348.1,11.5,-7.7,3.7,14.0,0.6,115.4,414.9,15.2,305.74,392.6,368.0,401.0,11.5,168.2,145.9,414.9,3.6,58.7,20.1,399.5,356.6,28.2742,-7.0481,-0.5261,-7.7,0.0,-1.8,-1.8,2.5,9.4,271.2817,1.2117,0.9039,-34.0488,136.5903,-1.063,93.0978,94.5924,1.4946,0.1667,-1.9274,0.0,0.0,0.0,75.6579,0.0,36.1842,38.8158,-50.6579,3.8048,-0.4506,-1.9274,2.3529,-1.3016,-2.8929,-4.2837,5.2295,0.2763,-2.3947,-3.5459,-1.5772,98.2838,33.2182,0.6227,1.5,0.1935,0.0494,5.3923,5.5668,3.1775,11.4143,1.1143,4.3045,10.0,0.7017,177.2,51.7,1.1136,555.8436,116766.0
90,20011,ARNOLD HOLDINGS LTD.,49.0,13844.425243445696,613.3,3.9,613.3,0.0,120.8,5.6,4.0,4.0,5.2,30.3,0.1,3.9,43.0,-5.2,17.9,300.8,14.2,43.8,1.92,5.2,45.1,12174.53191413238,0.1,492.5,14.0,14.2,49.0,106.5,83.5,49.0,13817.893488716241,-5.5204,-25.4782,1.7986,3.9,0.0,17.9,5.5,-6.0,17.1,0.0,0.0816,0.6404,87.25399999999998,18.9056,3.0756,11.5299,67.184,55.6541,0.3653,7.9592,0.0,0.0,28.3105,0.2283,1.5982,57.3059,3.653,8.9041,89.3878,11.2245,7.9592,34.898,7.9592,0.7608,0.7608,3.3356,3.0557,0.6658,0.6658,0.6496,189.3878,3.3113,2.0355,8.5532,0.1621,1.5532,1537.2115,0.0,0.0,25.7895,0.0,0.0,2.0,0.4156,535.2,12.0,1.1259,1624.05,250850.0
