,sa_finance1_cocode,sa_company_name,sa_finance1_year,sa_total_income,sa_sales,sa_total_assets,sa_pat,sa_total_liabilities,sa_gross_working_capital_cosm,sa_current_assets_incl_st_invest_loans,sa_current_liabilities,sa_cash_bal,sa_st_trade_bills_receivables,sa_debtors_more_6m,sa_st_trade_receivables,sa_nf_operating_expenses,sa_f_operating_expenses,sa_dep_owned_ast,sa_retained_profits,sa_pbit,sa_interest_inc,sa_interest_exp,sa_st_inventories,sa_pbdita_net_of_peoifi,sa_pbpt_net_of_peoi,sa_total_capital,sa_gross_fixed_assets,sa_pbdita,sa_cost_of_goods_sold,sa_cost_of_sales,sa_total_expense,sa_net_sales,sa_depreciation,sa_non_current_assets,sa_net_fixed_assets,sa_gross_fixed_assets.1,sa_non_fin_services_inc,sa_inc_fin_serv,sa_net_working_capital,sa_non_current_liabilities,sa_tot_inc_net_of_pe,sa_sales_n_chg_in_stk,sa_chg_in_assets_with_no_chg_in_efficiency,sa_chg_in_efficiency_with_no_chg_in_assets,sa_chg_in_efficiency_on_chg_in_assets,sa_reported_pat,sa_diff_in_pat,sa_pbpt,sa_pbt,sa_pbit_net_of_peoifi,sa_cash_profit,sa_equity_div_inc_dist_pc_pat,sa_sales_net_fixed_assets,sa_total_income_avg_tot_asset_net_miscexp_now_reval,sa_chg_in_efficiency_in_use_of_assets,sa_pc_chg_in_efficiency_with_no_chg_in_assets,sa_pc_chg_in_assets_with_no_chg_in_efficiency,sa_pc_chg_in_efficiency_on_chg_in_assets,sa_total_div_pc_pat,sa_total_interest_exp,sa_nf_oper_exp_pc_total_exp,sa_f_oper_exp_pc_total_exp,sa_fin_serv_exp_pc_total_exp,sa_pbpt_net_of_peoi_inc_fin_serv,sa_pat_cont_ops_pc_inc_cont_ops,sa_pat_discont_ops_pc_inc_discont_ops,sa_total_provisions_pc_pbdita,sa_write_offs_pc_pbdita,sa_depreciation_pc_pbdita,sa_amortisation_pc_pbdita,sa_fin_serv_exp_pc_pbdita,sa_prov_direct_tax_pc_pbdita,sa_pat_pc_pbdita,sa_pbdita_pc_total_inc,sa_pbt_pc_total_inc,sa_pat_pc_total_inc,sa_cash_profit_pc_total_inc,sa_pat_net_of_pe_pc_tot_inc_net_of_pe,sa_pat_net_of_pe_pc_avg_networth,sa_pat_pc_avg_networth,sa_cash_profit_pc_avg_networth,sa_pbpt_net_of_peoi_pc_avg_capital_employed,sa_pat_net_of_pe_pc_avg_capital_employed,sa_pat_pc_avg_capital_employed,sa_pat_net_of_pe_pc_avg_tot_asset_net_menow_reval,sa_pc_chg_in_profitability_with_no_chg_in_income,sa_st_trade_bills_receivables_pc_current_assets_incl_st_invest_loans,sa_quick_ratio,sa_current_ratio,sa_debt_equity,sa_cash_n_bank_no_fd_security_current_liab_n_prov,sa_cash_n_bank_no_fd_security_cost_of_sales_per_day,sa_rawmat_stores_spares_avg_stk_rawmat_stores,sa_cost_of_goods_sold_avg_stk_fg,sa_sales_avg_debtors,sa_creditors_turnover,sa_total_inc_net_of_pe_compensation_to_empl,sa_sales_avg_gfa_net_of_reval,sa_sales_net_repairs_avg_nfa_net_of_reval,equity_facevalue_on_stkdate,eps_on_stkdate,equity_bv_on_stkdate,high_price,stock_returns,market_cap,pe,pb,traded_qty
4,11,20 MICRONS LTD.,2018,3922.0,3891.8,3808.6,158.8,3808.6,1573.9364,1679.5,1396.9,1.5,636.7,,636.7,3363.5,3578.5,91.1,143.7,458.5,4.9,203.9,625.5,535.5,244.3,176.4,2546.9,549.6,2539.49,3453.5,3770.4,3845.7,91.1,2129.1,1640.5,2546.9,13.3,14.9,13.1,842.4,3909.2,3899.0,243.7773,-59.6886,-3.8887,158.8,0.0,243.5,238.6,444.4,250.6,8.8161,237.2326,1.0512,0.7897,-33.1235,135.2815,-1.7061,8.8161,203.9,89.208,94.9104,5.7023,16.396,4.0489999999999995,0.0,0.0,0.8916,16.5757,0.0,39.1194,14.5197,28.8937,14.0133,6.0836,4.0489999999999995,6.3896,4.1466,13.005999999999998,12.7412,20.1067,9.323,6.1861,6.0601,4.3448,77.9234,37.9101,0.5670000000000001,1.0081,0.9821,0.0348,7.5885,4.2626,14.5197,6.5668,4.2852,10.6027,1.581,2.438,5.0,5.5432,1382.7,68.0,1.1345,2244.2215,17.5467,1.7261,1151679.0
26,415,A B M KNOWLEDGEWARE LTD.,2018,740.8,716.3,1976.5,144.5,1976.5,253.2485,1377.7,37.4,0.6,531.3,,531.3,520.1,525.3,15.9,114.4,204.8,14.0,0.2,,196.2,198.6,102.4,506.4,220.7,264.85,529.1,596.3,602.6,15.9,598.8,464.7,506.4,716.3,23.5,929.0,84.0,740.1,716.3,300.3007,-540.9937,-144.30700000000002,144.5,0.0,199.6,192.5,180.3,150.6,20.8304,154.1425,0.3681,-0.9086,140.5179,-78.0002,35.4662,20.8304,0.2,87.2212,88.0932,0.872,8.4511,19.5059,0.0,3.217,0.0,7.2043,0.0,2.3561,21.749000000000002,65.4735,29.7921,25.9854,19.5059,20.3294,19.4298,10.3071,10.3573,10.7945,14.235,10.3071,10.3573,7.1459,-88.7677,38.5643,3.0164,3.148,0.0,0.7413,45.4612,,,2.0893,3.7585,2.5029,1.4197,1.5215,5.0,7.2592,1493.2,142.0,1.119,2711.2982,18.6729,1.8757,121094.0
55,912,A F ENTERPRISES LTD.,2018,5.0,4.2,185.3,-24.0,185.3,143.7962,173.8,167.2,0.1,41.5,41.5,41.5,110.0,139.4,0.7,-24.0,-2.7,0.2,0.1,106.3,-2.8,-32.1,40.0,4.3,-2.0,6.07,7.7,132.0,4.2,0.7,11.5,3.1,4.3,4.2,0.8,6.2,0.8,5.0,107.2,20.1993,-16.0165,-17.5827,-24.0,0.0,-32.1,-32.1,-3.5,-31.6,,135.4839,0.034,-0.1743,119.5264,-150.7409,-17.8879,,0.1,83.3333,105.6061,22.2727,-40.125,-480.0,0.0,0.0,0.0,-35.0,0.0,-1470.0,405.0,1200.0,-40.0,-642.0,-480.0,-632.0,-480.0,-82.0513,-82.0513,-108.0342,-89.1667,-66.6667,-66.6667,-16.3321,277.1901,23.878,0.25,1.0371,0.3757,0.0012,9.4805,,0.1179,0.0981,0.9857,3.3333,1.2,1.6154,10.0,-3.125,17.3,5.96,1.0442,23.84,,1.8061,7040.0
60,1120,A I A ENGINEERING LTD.,2018,23947.3,21658.2,43578.4,4699.1,43578.4,10158.309000000001,25120.5,3406.7,0.8,7036.2,6.3,7036.2,17525.9,17611.0,643.9,3369.9,6324.7,24.9,56.8,3449.7,4679.5,6102.8,188.6,8447.5,6968.6,15498.84,17540.9,19795.4,21474.8,643.9,18457.9,6511.6,8447.5,,2152.3,18571.3,10894.4,23825.2,22205.4,8258.8687,-5072.0229,-1852.4458,4699.1,0.0,6239.6,6233.3,4035.6,5174.1,24.0855,332.6095,0.6655,0.1386,-380.0976,618.92,-100.8079,24.0855,56.8,88.5352,88.9651,0.4299,2.8355,19.6227,0.0,0.0904,0.0,9.24,0.0,1.2212,22.0159,67.4325,29.0997,26.0292,19.6227,21.6062,19.2108,17.6638,18.1351,19.9682,22.4333,16.8246,17.2734,12.7188,41.9801,28.0098,3.9345,4.6594,0.0429,2.2539,23.3471,6.8092,37.6871,3.1687,12.8258,29.0374,2.6616,3.3295,2.0,52.0418,28657.6,1887.0,1.0535,172120.5272,35.4687,6.0061,3135822.0
65,1144,A INFRASTRUCTURE LTD.,2018,2163.8,2138.8,2100.4,8.1,2100.4,1117.7045,1332.7,1021.9,2.8,216.9,,216.9,1984.4,2097.8,26.2,1.7,125.2,16.8,88.8,580.3,126.4,3.6,107.1,463.9,151.4,1498.26,2036.3,2127.7,2078.0,26.2,767.7,410.8,463.9,,16.8,226.5,616.9,2156.6,2110.8,51.4441,218.4048,5.9511,8.1,0.0,11.8,11.8,100.2,25.1,65.4321,520.6426,1.0629,5.1074,79.1895,18.6527,2.4196,65.4321,101.9,93.265,98.5947,5.3297,0.2143,0.3743,0.0,0.0,0.0,17.3052,0.0,74.9009,2.4439,5.3501,6.9969,0.5453,0.3743,1.16,0.0417,0.2075,1.8677,5.7874,0.2535,0.0634,0.5704,0.0442,97.1098,16.2752,0.2944,1.2163,2.3251,0.0467,8.7652,3.9876,10.9242,10.1678,6.9251,11.3207,4.6486,5.0942,10.0,1.8103,485.9,149.35,1.05,1592.2838,1769.2042,3.6596,4080.0
70,1317,A K CAPITAL SERVICES LTD.,2018,1083.2,29.3,6277.2,215.8,6277.2,342.6323,2450.5,1892.2,1.6,18.2,,18.2,413.8,745.8,14.1,168.1,654.0,420.9,325.3,,-384.5,322.5,66.0,509.9,668.1,168.05,422.7,867.4,26.8,14.1,3826.7,356.7,509.9,29.3,1053.1,187.9,333.9,1082.9,29.3,49.3736,67.7514,3.4751,215.8,0.0,322.0,321.4,-398.6,229.8,18.3503,8.2142,0.1547,0.3531,56.1786,40.9399,42.5753,18.3503,325.3,47.7058,85.9811,38.2753,0.3062,19.9225,0.0,0.0,0.0898,2.1105,0.0,49.6932,15.806,32.3006,61.6784,29.6713,19.9225,21.2149,20.0203,5.9574,5.93,6.3147,4.8847,3.2838,3.2686,3.0969,181.9199,0.7427,1.0844,1.0846,0.5605,0.9154,9.2394,,,1.2337,0.0948,5.5278,0.0579,0.0826,10.0,41.2727,3783.3,665.0,1.145,4239.51,16.8919,1.1274,26209.0
85,2248,A P M INDUSTRIES LTD.,2018,2846.4,2722.7,3005.9,125.4,3005.9,821.7494,814.2,523.6,0.3,268.5,,268.5,2553.2,2594.0,48.5,112.4,221.7,32.5,39.3,408.7,151.3,146.0,43.2,1542.4,270.2,2289.3,2614.5,2702.8,2720.9,48.5,2191.7,1453.6,1542.4,,84.0,235.1,559.9,2810.0,2704.5,615.9577,-285.253,-68.0047,125.4,0.0,180.9,178.6,102.8,151.2,8.6124,187.3074,0.9819,0.4707,-108.5851,234.4719,-16.1221,8.6124,39.3,94.465,95.9745,1.5095,1.7381,4.4056,0.0,0.8512,0.0,17.9497,0.0,15.0999,19.6891,46.4101,9.4927,6.2746,4.4056,5.312,3.3381,5.0872,6.801,8.2002,6.3870000000000005,4.1034,5.4858,3.2358,113.7193,32.9772,0.6099,1.4332,0.2475,0.1021,2.2616,13.5168,8.5009,9.9934,14.5727,7.2987,1.8859,1.9753,2.0,5.3814,1908.7,74.9,1.1132,1577.6293,24.132,0.8385,126016.0
106,2842,A S M TECHNOLOGIES LTD.,2018,779.9,761.9,818.8,36.4,818.8,114.8083,580.6,116.2,,149.7,18.9,149.7,693.3,696.1,12.1,6.2,74.5,2.4,2.2,,68.6,67.4,50.0,82.2,86.6,439.5,699.5,743.5,761.0,12.1,238.2,55.3,82.2,761.9,13.7,458.9,32.0,779.9,761.9,-54.8972,88.6647,-6.4675,36.4,0.0,71.7,71.4,56.5,56.8,68.6813,1377.7577,1.0052,-0.4472,324.7792,-201.0887,-26.5227,68.6813,2.2,93.2482,93.6247,0.3766,4.9197,4.6673,0.0,0.0,0.3464,13.9723,0.0,3.2333,40.4157,42.0323,11.104000000000001,9.155,4.6673,7.2829999999999995,4.6673,6.8985,6.8985,10.7647,11.8008,6.3731,6.3731,4.6913,103.95700000000001,25.7837,3.6652,4.9492,0.1496,1.9974,5.9485,,,6.0928,15.0,1.5206,9.5716,13.0351,10.0,12.84,567.5,187.9,1.1606,867.5,20.6044,1.5286,76259.0
128,3196,A V I POLYMERS LTD.,2018,10.9,10.9,41.2,0.5,41.2,12.8151,36.0,3.2,0.1,15.0,10.5,15.0,9.1,10.9,,0.5,1.8,,,,1.8,0.0,44.7,,1.8,8.21,9.1,10.4,10.9,,5.2,,,10.9,,32.7,,10.9,10.9,1.5526,-3.7243,-0.4283,0.5,0.0,0.0,0.0,1.8,0.0,0.0,,0.2742,-0.6341,143.2414,-59.7152,16.4738,0.0,,87.5,104.8077,17.3077,,4.5872,0.0,0.0,0.0,0.0,0.0,100.0,-27.7778,27.7778,16.5138,0.0,4.5872,0.0,4.5872,1.3245,1.3245,0.0,0.0,1.3245,1.3245,1.2579,97.1603,41.6667,4.9688,11.2187,0.0,0.1562,20.0549,,,0.7101,4.2286,9.0833,218.0,,,,,,,,,,
134,3335,A V T NATURAL PRODUCTS LTD.,2018,3122.2,3002.2,3318.9,213.9,3318.9,1644.8394,2144.1,673.8,0.4,644.5,,644.5,2806.9,2823.4,71.3,140.6,353.3,1.2,6.8,894.7,304.6,333.8,152.3,700.2,424.6,2410.89,2760.8,3017.6,2989.7,71.3,1174.8,560.5,700.2,,117.0,1220.8,130.8,3121.2,3111.5,508.5832,-450.9842,-73.0991,213.9,0.0,336.8,329.8,233.3,290.1,34.2683,535.6289,1.0323,-0.0367,2909.5752,-3281.1822,409.8044,34.2683,6.8,93.0176,93.5644,0.5468,2.853,6.8509,0.0,1.3424,0.3062,16.7923,0.0,3.886,27.2963,50.3768,13.5994,10.5631,6.8509,9.2915,6.8211,8.805,8.8463,11.9978,13.1687,8.3991,8.4385,7.0393,98.3127,30.0592,1.4498,2.7403,0.0942,0.5237,8.7786,5.733,4.8597,4.7145,7.8319,10.0199,4.4696,5.2912,1.0,1.398,2523.0,60.25,1.0907,8733.4874,42.6232,3.4861,724808.0
149,3990,AARTI DRUGS LTD.,2018,11608.3,11596.6,13152.7,734.1,13152.7,5462.6467,6956.9,5863.6,24.5,3642.6,,3642.6,10287.9,10650.9,378.0,705.3,1498.4,8.4,330.1,2541.0,1864.7,1132.1,235.8,8622.9,1876.4,9160.32,10088.6,11430.2,11404.6,378.0,6195.8,5635.8,8622.9,,8.4,564.5,2943.4,11608.3,12152.6,1430.1315,-1550.7039,-186.1276,734.1,0.0,1135.4,1122.1,1486.7,1211.9,3.2557,205.7667,0.9549,-0.2354,505.6094,-466.2965,58.5074,3.2557,330.1,90.0063,93.1821,3.1758,134.7738,6.3239,0.0,0.0,0.7088,20.145,0.0,19.3456,20.6779,39.1228,16.1643,9.6664,6.3239,10.4399,6.3239,17.9018,17.9018,29.5535,12.6327,8.1916,8.1916,6.0385,180.21400000000003,52.3595,0.6443,1.0961,1.202,0.0067,1.4182,7.4594,14.6273,3.6097,4.3141,22.9913,1.3909,2.0972,10.0,36.1418,4555.6,785.0,1.1278,18378.317,26.1799,4.1999,482724.0
154,3998,AARTI INDUSTRIES LTD.,2018,37014.4,36990.3,41194.8,3164.4,41194.8,13201.6588,15691.3,15180.5,4.8,6392.3,297.6,6392.3,31101.3,32408.7,1357.7,3065.6,5248.8,,1240.1,6867.5,6586.4,3933.9,406.5,28873.0,6606.5,27475.08,31694.7,34547.4,36990.3,1357.7,25503.5,18442.8,28873.0,2.6,12.6,-1894.2,10587.7,37005.1,37687.7,6237.374,207.3583,42.3677,3164.4,0.0,3941.4,3923.5,5228.7,4509.1,2.5945,200.5677,0.9995,1.0325,3.1965,96.1504,0.7785,2.5945,1240.1,90.025,93.8094,3.7844,312.2143,8.5491,0.0,0.1514,0.1196,20.551,0.0,19.7896,11.4902,47.8983,17.8485,10.5999,8.5491,12.182,8.5369,22.8115,22.8498,32.5597,12.3671,9.9313,9.948,8.5303,-381.0716,40.7379,0.4318,0.8774,1.3746,0.0155,2.7558,8.1469,14.6097,6.2347,8.3551,20.9305,1.3942,2.2049,5.0,42.0836,15782.4,1445.0,1.0544,116872.815,34.6035,7.4053,1724381.0
159,4024,AARVEE DENIMS & EXPORTS LTD.,2018,8296.0,8270.6,9195.4,56.1,9195.4,4580.5194,5387.0,5119.3,0.6,2953.6,,2953.6,7863.6,8298.1,329.5,56.1,522.0,10.8,373.6,1998.5,826.1,79.5,234.6,4207.1,851.5,6966.85,7774.0,8659.0,8260.4,329.5,3808.4,3627.3,4207.1,,17.4,72.7,1339.5,8294.5,8689.7,483.3163,-613.6638,-35.0526,56.1,0.0,87.5,63.8,496.6,408.6,0.0,228.0098,0.9455,-0.3489,371.01800000000003,-292.2106,20.5952,0.0,373.6,90.8142,95.8321,5.0179,4.569,0.6762,0.0,0.2466,2.5367,38.6964,0.0,51.0276,0.9043,6.5884,10.264000000000001,0.769,0.6762,4.9253,0.6583,2.0305,2.0863,15.1955,1.2497,0.8583,0.8819,0.6223,103.0266,54.8283,0.6208,1.0142,1.3962,0.0449,10.8364,20.054000000000002,6.2773,3.0744,3.8483,14.9021,2.004,2.2432,10.0,2.6258,2722.5,58.0,1.0993,1286.77,20.8891,0.475,1064760.0
164,4030,AARVI ENCON LTD.,2018,1701.8,1688.8,984.5,61.6,984.5,337.7098,479.5,191.3,0.6,386.8,32.2,386.8,1601.8,1613.2,7.2,61.6,92.8,4.5,10.3,,87.0,72.9,147.8,159.6,100.0,973.44,1607.0,1640.2,1688.5,7.2,505.0,64.2,159.6,1688.8,4.5,275.2,206.7,1693.3,1688.8,518.1066,-208.278,-73.6287,61.6,0.0,81.4,81.4,79.8,68.2,0.0,2630.5296,1.9052,1.0124,-88.1786,219.3508,-30.6633,0.0,10.3,97.6588,98.3539,0.695,16.2,3.6197,0.0,0.0,0.0,7.2,0.0,11.4,19.8,61.6,5.8761,4.7832,3.6197,4.0075,3.1359,11.5661,13.4176,14.8552,13.2317,9.6379,11.1807,5.9446,62.435,80.6674,2.4298,2.4371,0.066,0.3462,24.1441,,,4.7585,1.219,1.4258,10.7773,26.0015,10.0,3.5917,586.3,111.5,1.0591,1611.456,47.3958,2.9606,88000.0
178,4253,ABAN OFFSHORE LTD.,2018,6516.6,5926.1,58823.4,85.7,58823.4,16022.2473,15349.8,10824.9,0.2,5012.5,,5012.5,2793.7,3926.9,1611.7,85.7,1991.1,504.7,1122.5,898.1,3132.4,967.5,2926.7,21597.3,3602.8,2872.77,4402.7,6430.9,5896.9,1611.7,43473.6,16838.2,21597.3,10.8,580.0,-3864.7,4027.2,6516.1,5926.1,-23.3309,-2865.0818,7.1128,85.7,0.0,857.9,678.7,1520.7,1798.6,0.0,35.1944,0.1106,19.6475,99.4371,0.8097,-0.2021,0.0,1122.5,43.4418,61.063,17.6212,1.6681,1.3151,0.0,0.0,4.9739,44.7347,0.0,31.4533,16.4594,2.3787,55.2865,10.4149,1.3151,27.6003,3.1507,0.5015,0.2093,4.3935,1.9221,0.4079,0.1703,0.3484,95.2183,32.6551,0.5106,0.6487,0.2266,0.0304,27.9883,0.3532,,1.2383,0.1392,7.1755,0.2778,0.3398,2.0,4.7357,41237.3,280.7,1.1519,15647.7431,97.2207,0.3795,28788250.0
202,4709,TRIDENT LTD.,2018,46853.6,45867.6,64445.5,2637.4,64445.5,17403.7344,18296.1,16673.1,3.7,4783.9,6.3,4783.9,37357.9,38540.0,4161.8,1717.4,5115.6,252.5,1061.5,9065.3,8298.9,3580.2,5096.0,52475.2,9277.4,35941.01,41713.4,44005.4,45701.5,4161.8,46149.4,40693.8,52475.2,103.4,625.2,-1030.8,18392.5,46688.3,45656.8,-1880.6011,924.6446,-36.3435,2637.4,0.0,3933.5,3912.8,4137.1,7090.2,28.9831,112.714,0.8287,0.429,-93.182,189.5194,8.2316,28.9831,1335.7,84.8939,87.5802,2.6863,5.7265,5.629,0.0,0.0,0.2231,44.8596,0.0,12.7417,13.7474,28.4282,19.8008,8.3511,5.629,15.1327,5.311,12.092,12.8615,34.5759,7.3452,5.0872,5.4109,4.3857,92.9823,26.1471,0.3973,0.9392,1.3066,0.1042,14.5139,3.8769,36.4902,10.5543,18.1791,8.9603,1.0397,1.3331,10.0,5.9936,22004.7,93.4,1.1199,46653.4742,16.532,2.1471,8210193.0
207,4831,ABIRAMI FINANCIAL SERVICES (INDIA) LTD.,2018,7.0,1.3,81.9,-0.2,81.9,0.0,54.0,0.4,,,,,3.3,3.5,1.3,-2.4,0.5,4.4,,,-2.0,2.2,60.0,106.2,1.8,2.32,4.5,7.2,1.1,1.3,27.9,24.7,106.2,1.3,5.7,52.7,,7.0,1.3,-0.1876,1.6427,-0.055,1.7,-1.9,0.3,0.3,-3.3,1.1,,5.2632,0.0837,-0.4828,117.3341,-13.4027,-14.9408,,,45.8333,48.6111,2.7778,0.386,-2.8571,0.0,0.0,0.0,72.2222,0.0,11.1111,27.7778,-11.1111,25.7143,4.2857,-2.8571,15.7143,24.2857,2.0757,-0.2442,1.3431,2.6862,2.0757,-0.2442,2.0323,69.0909,0.0,44.25,44.9167,0.0,42.8333,4169.1111,,,,,10.0,0.0123,0.0515,10.0,0.3167,84.9,10.0,1.0492,58.2,30.6316,0.6855,5315.0
212,5003,ACCEL FRONTLINE LTD.,2018,4895.1,4008.9,3026.7,509.2,3026.7,7462.3543,2011.9,2272.4,0.3,1406.6,,1406.6,3756.4,3937.4,64.3,509.2,1085.9,50.1,162.1,174.5,264.0,891.5,297.6,304.6,1150.2,3171.1,3807.4,4397.4,3992.4,64.3,1014.8,165.7,304.6,1908.1,872.8,-627.2,447.7,4895.1,4020.4,193.2077,994.3307,52.5615,509.2,0.0,904.9,631.7,199.7,846.7,0.0,2419.3724,1.6164,8.1559,80.1815,15.58,4.3152,0.0,162.1,85.4232,89.5393,4.1161,1.0214,10.4022,0.0,8.0247,15.7277,5.5903,0.0,15.7364,10.6503,44.2706,23.497,12.9047,10.4022,17.2969,10.4022,,,,47.6968,27.2431,27.2431,16.8139,81.9759,69.914,0.6552,0.7328,26.7377,0.0226,17.6393,0.6226,49.0503,2.9992,6.3129,5.28,13.8501,22.0269,10.0,18.2213,188.8,90.4,1.1998,2605.652,4.8199,28.7974,377174.0
219,5284,ACE SOFTWARE EXPORTS LTD.,2018,98.3,87.7,217.1,12.0,217.1,21.4811,60.6,16.0,0.1,0.6,,0.6,83.0,83.1,2.9,12.0,12.9,1.4,0.1,6.1,5.2,12.8,46.8,100.0,15.8,23.27,84.3,86.8,87.4,2.9,156.5,36.1,100.0,87.7,10.6,37.2,,98.3,88.2,6.7184,0.1692,0.0124,12.0,0.0,12.8,12.8,2.3,15.1,0.0,242.9363,0.5023,0.5149,2.452,97.3678,7.1046,0.0,0.1,95.6221,95.7373,0.1152,1.2075,12.2075,0.0,0.0,0.0,18.3544,0.0,0.6329,5.0633,75.9494,16.0732,13.0214,12.2075,15.3611,12.2075,6.5502,6.5502,8.2424,6.9869,6.5502,6.5502,6.1318,52.5263,0.9901,1.9187,3.325,0.0,1.8063,26.4116,,3.9778,292.3333,0.3711,3.5745,1.0098,3.5943,10.0,2.5641,189.7,40.2,1.2,181.35,41.1273,0.9595,26086.0
232,5568,ACROW INDIA LTD.,2018,15.1,,222.1,0.0,222.1,9.8744,165.7,4.5,,0.6,,0.6,10.3,11.0,3.9,0.0,0.8,9.2,0.3,6.7,-10.4,-2.2,6.4,112.5,4.7,4.2,12.6,15.0,-0.1,3.9,56.4,48.3,112.5,,12.8,64.0,1.5,12.8,-0.1,-0.3395,2.6082,-0.0687,,0.0,0.1,-0.1,-14.3,1.7,,0.0,0.0675,-0.3636,118.5545,-15.434000000000001,-18.1956,,0.3,68.6667,73.3333,4.6667,-0.1719,0.0,0.0,0.0,4.2553,82.9787,0.0,14.8936,-2.1277,0.0,31.1258,-0.6623,0.0,11.2583,-17.9688,-1.0651,0.0,0.7872,-0.9941,-1.0393,0.0,-1.0277,97.7539,0.3621,13.7333,15.2222,0.025,12.6889,1654.0873,0.0,2.7097,0.0,-2.375,18.2857,0.0,0.0,10.0,-1.4062,216.2,159.0,1.05,98.08,,0.4541,1580.0
245,5695,AD-MANUM FINANCE LTD.,2018,151.0,12.7,731.4,15.5,731.4,3720.7555,681.7,203.2,2.8,671.5,90.1,671.5,62.7,104.0,3.5,15.5,84.8,134.9,38.4,,-50.0,41.8,75.0,120.2,88.3,27.86,65.9,135.5,12.6,3.5,49.7,29.0,120.2,,136.6,476.9,30.5,150.4,12.7,-11.4715,26.6902,-2.2187,15.5,0.0,43.5,16.6,-53.5,45.5,0.0,43.7931,0.19399999999999998,-0.1843,205.3094,-88.2427,-96.677,0.0,38.4,46.2731,76.7528,30.4797,0.306,10.2649,0.0,0.45299999999999996,30.0113,3.9638,0.0,46.7724,1.2458,17.5538,58.4768,10.9934,10.2649,30.1325,9.9069,3.215,3.3445,9.8177,5.6502,2.0141,2.0952,1.9148,81.206,98.5037,3.3343,3.3343,0.4866,0.0235,26.5857,,,0.0177,,4.6563,0.1057,0.4137,10.0,1.9867,475.1,46.65,1.1273,299.25,26.25,0.6389,7541.0
250,5747,ADANI ENTERPRISES LTD.,2018,101679.6,95462.0,156731.5,1970.3,156731.5,117530.6241,98355.7,97517.7,193.9,26642.2,288.5,26642.2,95726.4,103165.8,874.1,1440.8,12235.1,5596.8,5662.7,13093.0,4914.7,2364.2,1099.8,14961.3,13109.2,82575.61,89371.2,107009.9,95451.3,874.1,58375.8,12534.0,14961.3,94818.5,5763.0,-32557.1,19445.0,101620.2,102762.6,3020.3005,13512.268999999998,482.0305,1970.3,0.0,4795.7,2934.4,4040.6,5017.2,22.3265,761.6244,0.6649,3.2301,79.4157,17.7512,4.2795,22.3265,5681.1,89.4556,96.4077,6.9521,0.4102,2.0749,,0.0,14.1984,6.6678,0.0,56.7495,7.3544,15.0299,12.8927,2.8859,1.9378,4.9343,2.0227,5.356,5.1339999999999995,13.0732,2.1919999999999997,1.9058,1.8268,1.3441,218.1973,27.0876,0.3332,0.6672,1.7098,0.0537,21.4276,1.1397,8.7969,3.4010000000000002,2.5299,43.1802,6.7856,7.9044,1.0,1.869,39083.9,236.7,1.088,252626.3761,204.3635,6.4756,74817700.0
255,5757,ADANI POWER LTD.,2018,100909.0,82524.6,199040.8,-237.7,199040.8,18135.8808,33718.5,78646.8,,417.2,,417.2,72344.5,92425.2,8606.7,-237.7,19850.5,2909.5,18549.7,746.9,10180.1,-15410.8,38569.4,7645.1,28457.2,76725.89,80951.1,101146.7,82486.9,8606.7,165322.3,6422.5,7645.1,,3096.5,-72717.9,24989.0,85836.5,82524.6,-35835.8174,29966.3485,-9254.8311,-237.7,0.0,-230.2,-237.7,1573.4,8372.5,,1284.9295,0.3115,0.1045,-198.1338,236.942,76.0887,,18549.7,71.5243,91.3774,19.852999999999998,-4.9768,-0.2356,0.0,0.0,0.0264,30.2444,0.0,70.5646,0.0,-0.8353,28.2009,-0.2356,-0.2356,8.2971,-17.7115,-21.3938,-0.3345,11.7819,-6.0137,-5.9326,-0.0928,-4.6934,47.0317,1.2373,0.066,0.0755,1.0237,0.0268,9.5151,8.6345,,9.2403,2.5808,69.5878,0.6287,0.7065,10.0,-2.718,95391.2,47.8,1.1758,181083.2833,,3.4763,124345256.0
268,5843,ADARSH PLANT PROTECT LTD.,2018,112.4,112.2,77.9,-12.0,77.9,76.7533,70.7,26.2,0.7,35.1,,35.1,110.6,116.1,0.5,-12.0,-5.3,0.1,5.5,26.9,-5.0,-10.9,99.1,4.8,-4.8,100.31,117.7,117.8,109.3,0.5,7.2,3.6,4.8,0.2,0.1,42.1,37.0,112.4,105.6,3.2401,-8.4088,-0.2313,-12.0,0.0,-10.8,-12.0,-5.5,-10.3,,3116.6667,1.4328,-2.5714,155.7184,-60.0015,4.0283,,5.5,93.8879,98.5569,4.6689,-109.0,-10.6762,0.0,0.0,-25.0,-10.4167,0.0,-114.5833,0.0,250.0,-4.2705,-10.6762,-10.6762,-9.1637,-10.6762,-57.8313,-57.8313,-49.6386,-15.5271,-17.094,-17.094,-15.2964,104.50399999999999,49.6464,1.4084,2.6069,3.7483,0.0458,6.2022,4.021,14.4331,3.1785,17.4393,20.4364,23.8723,29.5263,10.0,-0.7567,16.6,9.39,1.0492,93.069,,7.6858,1100.0
