,sa_finance1_cocode,sa_company_name,sa_finance1_year,sa_total_income,sa_sales,sa_total_assets,sa_pat,sa_total_liabilities,sa_gross_working_capital_cosm,sa_current_assets_incl_st_invest_loans,sa_current_liabilities,sa_cash_bal,sa_st_trade_bills_receivables,sa_debtors_more_6m,sa_st_trade_receivables,sa_nf_operating_expenses,sa_f_operating_expenses,sa_dep_owned_ast,sa_retained_profits,sa_pbit,sa_interest_inc,sa_interest_exp,sa_st_inventories,sa_pbdita_net_of_peoifi,sa_pbpt_net_of_peoi,sa_total_capital,sa_gross_fixed_assets,sa_pbdita,sa_cost_of_goods_sold,sa_cost_of_sales,sa_total_expense,sa_net_sales,sa_depreciation,sa_non_current_assets,sa_net_fixed_assets,sa_gross_fixed_assets.1,sa_non_fin_services_inc,sa_inc_fin_serv,sa_net_working_capital,sa_non_current_liabilities,sa_tot_inc_net_of_pe,sa_sales_n_chg_in_stk,sa_chg_in_assets_with_no_chg_in_efficiency,sa_chg_in_efficiency_with_no_chg_in_assets,sa_chg_in_efficiency_on_chg_in_assets,sa_reported_pat,sa_diff_in_pat,sa_pbpt,sa_pbt,sa_pbit_net_of_peoifi,sa_cash_profit,sa_equity_div_inc_dist_pc_pat,sa_sales_net_fixed_assets,sa_total_income_avg_tot_asset_net_miscexp_now_reval,sa_chg_in_efficiency_in_use_of_assets,sa_pc_chg_in_efficiency_with_no_chg_in_assets,sa_pc_chg_in_assets_with_no_chg_in_efficiency,sa_pc_chg_in_efficiency_on_chg_in_assets,sa_total_div_pc_pat,sa_total_interest_exp,sa_nf_oper_exp_pc_total_exp,sa_f_oper_exp_pc_total_exp,sa_fin_serv_exp_pc_total_exp,sa_pbpt_net_of_peoi_inc_fin_serv,sa_pat_cont_ops_pc_inc_cont_ops,sa_pat_discont_ops_pc_inc_discont_ops,sa_total_provisions_pc_pbdita,sa_write_offs_pc_pbdita,sa_depreciation_pc_pbdita,sa_amortisation_pc_pbdita,sa_fin_serv_exp_pc_pbdita,sa_prov_direct_tax_pc_pbdita,sa_pat_pc_pbdita,sa_pbdita_pc_total_inc,sa_pbt_pc_total_inc,sa_pat_pc_total_inc,sa_cash_profit_pc_total_inc,sa_pat_net_of_pe_pc_tot_inc_net_of_pe,sa_pat_net_of_pe_pc_avg_networth,sa_pat_pc_avg_networth,sa_cash_profit_pc_avg_networth,sa_pbpt_net_of_peoi_pc_avg_capital_employed,sa_pat_net_of_pe_pc_avg_capital_employed,sa_pat_pc_avg_capital_employed,sa_pat_net_of_pe_pc_avg_tot_asset_net_menow_reval,sa_pc_chg_in_profitability_with_no_chg_in_income,sa_st_trade_bills_receivables_pc_current_assets_incl_st_invest_loans,sa_quick_ratio,sa_current_ratio,sa_debt_equity,sa_cash_n_bank_no_fd_security_current_liab_n_prov,sa_cash_n_bank_no_fd_security_cost_of_sales_per_day,sa_rawmat_stores_spares_avg_stk_rawmat_stores,sa_cost_of_goods_sold_avg_stk_fg,sa_sales_avg_debtors,sa_creditors_turnover,sa_total_inc_net_of_pe_compensation_to_empl,sa_sales_avg_gfa_net_of_reval,sa_sales_net_repairs_avg_nfa_net_of_reval,equity_facevalue_on_stkdate,eps_on_stkdate,equity_bv_on_stkdate,high_price,stock_returns,market_cap,pe,pb,traded_qty
20847,433460,AMBITION MICA LTD.,2018,909.8,908.9,926.3,18.9,926.3,684.1639,755.1,486.4,0.1,429.1,85.4,429.1,883.2,906.2,6.4,18.9,49.8,0.2,20.3,273.7,55.3,26.3,149.2,169.4,56.2,800.54,859.9,920.5,892.2,6.4,171.2,136.8,169.4,284.9,0.4,252.4,150.8,909.8,938.5,284.2172,32.4844,15.9983,18.9,0.0,26.8,26.8,48.9,27.2,0.0,664.4006,1.2286,1.3616,9.7639,85.4275,4.8382,0.0,20.3,95.9479,98.4465,2.4986,65.75,2.0774,0.0,0.0,0.0,11.3879,0.0,40.9253,14.0569,33.6299,6.1772,2.9457,2.0774,2.9897,2.0774,8.8194,8.8194,12.6925,6.2043,4.4586,4.4586,2.5523,1087.3489,56.8269,0.9533,1.5130000000000001,0.9287,0.077,16.0873,2.7460000000000004,23.8967,2.6284,3.6745,71.6378,5.769,7.0952,10.0,1.5883,293.1,51.5,1.1207,734.1624,38.8446,2.5896,129000.0
20852,434489,IND RENEWABLE ENERGY LTD.,2018,4.1,0.9,36.6,0.7,36.6,0.3111,28.5,3.8,,0.1,,0.1,2.0,2.5,0.8,0.7,1.3,,0.2,,-1.1,0.8,30.3,8.6,2.1,1.38,2.8,3.4,0.9,0.8,8.1,5.3,8.6,,3.2,24.6,,4.1,0.9,-0.0614,0.0623,-0.0009,0.7,0.0,0.8,0.8,-1.9,1.5,0.0,16.9811,0.1133,0.0,,,,0.0,0.2,58.8235,73.5294,14.7059,0.25,17.0732,0.0,0.0,0.0,38.0952,0.0,23.8095,4.7619,33.3333,51.2195,19.5122,17.0732,36.5854,17.0732,2.1572,2.1572,4.6225,2.213,1.9364,1.9364,1.9337,100.0,0.3509,7.3421,7.4737,0.1159,7.3158,0.0,,,9.0,,5.125,0.1047,0.1579,10.0,0.6276,32.7,24.0,1.05,69.932,124.1218,2.1386,281370.0
20869,437190,GENUS PAPER & BOARDS LTD.,2018,3557.3,3502.1,5137.3,149.4,5137.3,1048.4277,1283.7,1100.9,0.8,768.1,,768.1,3182.1,3242.9,129.2,149.4,286.3,46.4,39.9,344.2,362.2,225.3,257.1,2431.6,416.2,2930.7,3269.1,3450.1,3459.8,129.2,3853.6,2182.2,2431.6,,53.8,111.7,455.2,3555.9,3544.3,285.1955,-37.4698,-3.2257,149.4,0.0,225.5,225.5,232.3,276.1,0.0,160.4848,0.7274,0.6307,-15.3251,116.6444,0.8074,0.0,39.9,92.2321,93.9944,1.7623,4.1877,4.1998,0.0,0.0,0.0,31.0428,0.1682,14.6084,18.2845,35.8962,11.6999,6.3391,4.1998,7.7615,4.1958,4.3401,4.3459,8.0315,5.5476,3.6738,3.6787,3.0508,87.1762,59.8349,0.7194,1.0985,0.2098,0.0386,4.8903,11.7805,29.2339,4.9774,5.5120000000000005,27.9332,1.4656,1.5898,1.0,0.6849,3563.1,16.7,1.166,4152.5839,26.3991,1.1946,1644814.0
20878,438281,APEX FROZEN FOODS LTD.,2018,10185.1,9986.3,4310.7,791.0,4310.7,1510.5732,2902.2,1037.4,12.5,633.2,,633.2,9244.4,9331.4,86.5,791.0,1217.8,18.8,72.8,1016.0,1105.5,1130.8,312.5,1384.5,1304.3,8281.95,8960.3,9757.7,9939.2,86.5,1408.5,1111.2,1384.5,,198.8,1481.8,101.0,10185.1,10349.9,3928.3434,-537.9125,-297.9309,791.0,0.0,1130.8,1125.5,1019.0,784.1,0.0,898.6951,2.8781,2.4516,-17.3941,127.0281,-7.7409,0.0,72.8,94.7395,95.6311,0.8916,5.6881,7.7662,0.0,0.0,0.4063,6.6319,0.0,6.6702,25.6459,60.6456,12.806,11.0505,7.7662,7.6985,7.7662,38.4251,38.4251,38.0899,37.2415,26.0506,26.0506,22.3519,55.4991,21.8179,1.2215,2.2485,0.2827,0.5429,26.2498,314.4355,17.3808,14.3688,40.3587,20.9398,8.3223,10.2957,10.0,25.3856,3234.8,855.0,1.1109,25981.25,38.2753,12.8493,1028469.0
20901,440686,JAMES WARREN TEA LTD.,2018,1242.6,1161.1,1727.1,-25.3,1727.1,602.7412,497.1,137.0,0.3,7.7,,7.7,1215.2,1236.6,31.2,-25.3,-6.2,11.6,,87.3,-56.5,-42.4,93.0,510.5,25.0,802.55,1247.0,1265.5,1141.9,31.2,1230.0,448.8,510.5,,66.7,130.0,345.8,1229.8,1158.7,-34.664,-13.9095,0.3735,-25.3,0.0,-27.6,-28.6,-87.7,-6.6,,258.7121,0.6729999999999999,0.946,28.858,71.917,3.5207,,,96.0253,97.7163,1.6909999999999998,-0.6357,-2.0361,0.0,0.0,4.0,124.8,0.0,85.6,-13.2,-101.2,2.0119,-2.3016,-2.0361,-0.5311,-3.0981,-2.9826,-1.9806,-0.5167,-3.3192,-2.9826,-1.9806,-2.0636,106.1038,1.5490000000000002,1.1761,1.5426,0.0,1.0384,6.9663,2.3473,27.0219,49.1992,2.1298,1.5215,2.4725,2.7423,10.0,3.29,1545.1,159.45,1.1003,1825.3223,40.1667,1.2047,11900.0
20906,442197,B K M INDUSTRIES LTD.,2018,1598.9,1555.7,2488.5,52.7,2488.5,2100.334,1324.4,690.7,2.6,567.8,,567.8,1390.7,1527.6,35.0,52.7,202.6,19.6,110.0,568.5,195.3,58.4,65.5,1214.1,237.6,1188.81,1394.9,1576.5,1535.0,35.0,1164.1,543.3,1214.1,6.6,35.0,534.6,470.6,1592.5,1586.0,165.0493,46.9417,5.609,52.7,0.0,65.7,65.7,160.3,87.5,0.0,286.3427,0.7136,0.9099,21.5725,75.8499,5.7461,0.0,110.0,88.2144,96.8982,8.6838,1.6686,3.2960000000000003,0.0,0.0,0.0,14.7306,0.0,57.6178,5.4714,22.1801,14.8602,4.1091,3.2960000000000003,5.4725,2.9639,4.3561,4.8636,8.0753,2.9998,2.4245,2.707,2.1066,145.7539,42.8722,0.8373,1.7577,0.8063,0.0317,5.8614,1.7279,17.0439,3.1189,33.3544,11.2863,1.5408,4.3977,1.0,1.4313,1118.0,43.8,1.1411,2778.6437,44.6381,2.4854,1557319.0
20911,442324,MANDHANA RETAIL VENTURES LTD.,2018,2607.4,2594.6,1485.5,90.3,1485.5,1076.4575,1093.1,635.9,0.9,199.2,,199.2,2323.4,2348.0,36.8,90.3,170.9,7.2,18.6,548.5,206.5,157.9,220.8,328.2,207.7,1529.18,2420.9,2452.4,2591.9,36.8,392.4,260.5,328.2,2570.4,12.8,115.5,23.4,2607.4,2529.9,6.016,-12.1879,-0.0281,90.3,0.0,146.3,146.3,169.7,165.0,0.0,996.0077,1.6633,-1.7222,196.5791,-97.0316,-0.2084,0.0,18.6,94.7398,95.7429,1.0031,12.3359,3.4632,0.0,0.0,0.0,17.7179,0.0,11.844000000000001,26.962,43.4762,7.9658,5.611000000000001,3.4632,6.3281,3.9081,16.2132,14.3675,26.253,22.3528,14.4253,12.7831,6.5004,99.3607,18.2234,0.4469,1.1466,0.1112,0.0184,2.1862,,2.6327,15.4303,2.4836,10.4757,8.4957,10.1929,10.0,4.6145,677.4,188.4,1.196,4044.4298,101.6188,5.9705,507137.0
20920,443251,P D S MULTINATIONAL FASHIONS LTD.,2018,250.5,181.9,1438.6,37.2,1438.6,4.4145,18.4,229.6,,4.6,,4.6,159.5,183.6,23.0,37.2,67.5,0.2,24.1,,22.4,41.9,260.5,163.8,90.5,101.55,182.5,213.3,180.8,23.0,1420.2,137.8,163.8,181.9,66.6,-221.4,129.6,250.5,181.9,5.2255,106.3518,4.1227,37.2,0.0,43.4,43.3,-0.6,59.4,0.0,132.0029,0.1744,2.1586,91.9203,4.5164,3.5934,0.0,24.1,74.7773,86.0759,11.2986,0.6291,14.8503,0.0,0.1105,0.0,25.4144,0.0,26.6298,6.7403,41.105,36.1277,17.2854,14.8503,23.7126,15.0499,3.5752,3.5277,5.632999999999999,3.252,2.926,2.8872,2.6248,46.3297,25.0,0.0313,0.0374,0.2011,0.0104,5.0,,,41.3409,0.3343,2.4156,1.7283,2.0554,10.0,1.4474,1073.5,365.0,1.0479,8897.5609,219.6699,8.7001,536929.0
20925,443711,OPAL LUXURY TIME PRODUCTS LTD.,2018,127.9,126.0,400.1,-67.1,400.1,367.9779,255.1,155.5,,128.4,47.3,128.4,130.2,154.1,36.8,-67.1,-36.5,,22.0,117.6,-1.5,-62.2,33.6,278.9,0.3,137.47,164.3,197.7,126.0,36.8,145.0,128.2,278.9,0.2,,94.3,48.1,126.6,128.7,-3.2278,-105.0165,1.4443,-67.1,0.0,-60.4,-67.1,-38.3,-24.9,,98.2839,0.2924,17.5082,98.3301,3.0222,-1.3419999999999999,,22.0,65.8574,77.9464,12.089,,-52.4629,0.0,2233.3333,0.0,12266.6667,0.0,7966.6667,0.0,-22366.6667,0.2346,-52.4629,-52.4629,-19.4683,-53.9494,-30.6072,-30.0695,-11.1584,-17.6204,-19.3484,-19.0085,-15.6132,262.6018,50.3332,0.8220000000000001,1.5995,0.9267,0.0025,0.8886,1.4468,3.2194,0.8545,1.3988,5.9717,0.4527,0.863,10.0,-9.676,256.6,110.0,1.1148,369.47,,1.8611,2000.0
20930,444847,GUJARAT GAS LTD.,2018,63914.7,63393.5,71574.3,2913.6,71574.3,3970.9742,11725.5,19522.3,13.5,3971.4,,3971.4,54413.8,56476.1,2718.2,2416.5,6684.3,277.7,1960.8,567.8,8986.0,4483.2,1376.8,63622.2,9402.5,53744.64,57044.3,61007.4,61730.0,2718.2,59848.8,50927.1,63622.2,,277.7,-8569.5,33458.0,63903.9,63399.8,4597.0406,6139.6081,536.1514,2913.6,0.0,4622.0,4616.3,6267.8,6134.7,14.1749,124.4789,0.8979,1.9718,54.4639,40.7799,4.96,14.1749,2097.0,89.1921,92.5725,3.3804,16.144000000000002,4.5586,0.0,0.0606,0.0,28.9093,0.0,21.9335,18.109,30.9875,14.710999999999999,7.2226,4.5586,9.5983,4.7063,16.3644,15.8535,33.3801,10.7218,7.1926,6.968,4.225,26.7515,33.8698,0.5333,0.5627,1.1886,0.3067,38.4603,95.6442,,16.9043,16.0063,45.9707,1.0173,1.2456,10.0,23.0821,20804.2,955.0,1.0581,126030.4641,47.1389,6.4885,24679843.0
