,sa_total_income,sa_sales,sa_total_assets,sa_pat,sa_total_liabilities,sa_gross_working_capital_cosm,sa_current_assets_incl_st_invest_loans,sa_current_liabilities,sa_cash_bal,sa_st_trade_bills_receivables,sa_debtors_more_6m,sa_st_trade_receivables,sa_nf_operating_expenses,sa_f_operating_expenses,sa_dep_owned_ast,sa_retained_profits,sa_pbit,sa_interest_inc,sa_interest_exp,sa_st_inventories,sa_pbdita_net_of_peoifi,sa_pbpt_net_of_peoi,sa_total_capital,sa_gross_fixed_assets,sa_pbdita,sa_cost_of_goods_sold,sa_cost_of_sales,sa_total_expense,sa_net_sales,sa_depreciation,sa_non_current_assets,sa_net_fixed_assets,sa_gross_fixed_assets.1,sa_non_fin_services_inc,sa_inc_fin_serv,sa_net_working_capital,sa_non_current_liabilities,sa_tot_inc_net_of_pe,sa_sales_n_chg_in_stk,sa_chg_in_assets_with_no_chg_in_efficiency,sa_chg_in_efficiency_with_no_chg_in_assets,sa_chg_in_efficiency_on_chg_in_assets,sa_reported_pat,sa_diff_in_pat,sa_pbpt,sa_pbt,sa_pbit_net_of_peoifi,sa_cash_profit,sa_equity_div_inc_dist_pc_pat,sa_sales_net_fixed_assets,sa_total_income_avg_tot_asset_net_miscexp_now_reval,sa_chg_in_efficiency_in_use_of_assets,sa_pc_chg_in_efficiency_with_no_chg_in_assets,sa_pc_chg_in_assets_with_no_chg_in_efficiency,sa_pc_chg_in_efficiency_on_chg_in_assets,sa_total_div_pc_pat,sa_total_interest_exp,sa_nf_oper_exp_pc_total_exp,sa_f_oper_exp_pc_total_exp,sa_fin_serv_exp_pc_total_exp,sa_pbpt_net_of_peoi_inc_fin_serv,sa_pat_cont_ops_pc_inc_cont_ops,sa_pat_discont_ops_pc_inc_discont_ops,sa_total_provisions_pc_pbdita,sa_write_offs_pc_pbdita,sa_depreciation_pc_pbdita,sa_amortisation_pc_pbdita,sa_fin_serv_exp_pc_pbdita,sa_prov_direct_tax_pc_pbdita,sa_pat_pc_pbdita,sa_pbdita_pc_total_inc,sa_pbt_pc_total_inc,sa_pat_pc_total_inc,sa_cash_profit_pc_total_inc,sa_pat_net_of_pe_pc_tot_inc_net_of_pe,sa_pat_net_of_pe_pc_avg_networth,sa_pat_pc_avg_networth,sa_cash_profit_pc_avg_networth,sa_pbpt_net_of_peoi_pc_avg_capital_employed,sa_pat_net_of_pe_pc_avg_capital_employed,sa_pat_pc_avg_capital_employed,sa_pat_net_of_pe_pc_avg_tot_asset_net_menow_reval,sa_pc_chg_in_profitability_with_no_chg_in_income,sa_st_trade_bills_receivables_pc_current_assets_incl_st_invest_loans,sa_quick_ratio,sa_current_ratio,sa_debt_equity,sa_cash_n_bank_no_fd_security_current_liab_n_prov,sa_cash_n_bank_no_fd_security_cost_of_sales_per_day,sa_rawmat_stores_spares_avg_stk_rawmat_stores,sa_cost_of_goods_sold_avg_stk_fg,sa_sales_avg_debtors,sa_creditors_turnover,sa_total_inc_net_of_pe_compensation_to_empl,sa_sales_avg_gfa_net_of_reval,sa_sales_net_repairs_avg_nfa_net_of_reval,equity_facevalue_on_stkdate,eps_on_stkdate,equity_bv_on_stkdate,high_price,stock_returns,market_cap,pe,pb,traded_qty,delisted
3632,128475.4,128320.1,58040.6,4826.4,58040.6,8954.04,29681.0,9144.4,92.7,210.0,,210.0,121235.3,122453.3,1272.1,4826.4,8673.3,72.2,1213.6,9331.6,9814.4,7473.3,6240.8,27444.0,9945.4,108170.85,119714.5,126378.6,119610.3,1272.1,28359.6,25215.3,27444.0,128320.1,149.0,20280.5,10359.7,128475.4,131049.7,58936.7581,-14127.4988,-8986.5593,4826.4,0.0,7455.3,7455.3,8542.3,6215.0,0.0,508.8978,2.8913,2.0736,-39.4373,164.5235,-24.9834,0.0,1327.9,95.9302,96.89399999999999,0.9638,50.1564,3.7567,0.0,0.0,0.0,12.7908,0.0,12.2469,26.4333,48.528999999999996,7.7411,5.8029,3.7567,4.8375,3.7756,18.1371,18.0463,23.2383,18.6657,12.1154,12.0547,10.9164,18.6456,0.7075,2.0469,3.1783,0.386,2.0198,57.3596,,13.5777,873.5201,46.36600000000001,67.8078,5.2303,5.595,10.0,9.8831,42028.5,1289.0,1.1306,792181.6423,128.7385,18.8487,85728445.0,False
3633,97.9,97.9,84.1,17.1,84.1,11.700999999999999,35.6,54.8,0.6,20.3,20.3,20.3,73.4,74.7,0.4,17.1,26.8,,,3.6,28.1,26.4,0.1,3.5,27.2,28.57,70.2,84.4,97.6,0.4,48.5,3.1,3.5,97.9,,-29.8,0.1,97.9,101.5,192.6474,-25.8637,-112.9836,17.1,0.0,25.5,25.5,27.7,17.6,0.0,3158.0645,2.1329,1.4404,-48.0738,358.0806,-210.0068,0.0,,86.9668,88.5071,1.5403,,17.4668,0.0,0.0,0.0,1.4706,0.0,4.7794,30.8824,62.8676,27.7835,26.046999999999997,17.4668,17.9775,18.3861,153.8462,146.1538,150.4274,211.2,144.0,136.8,39.2157,41.8134,57.0225,0.4553,0.5322,0.0,0.0565,18.7179,,,9.6453,1.2414,2.3878,55.9429,63.1613,10.0,3.6822,356.3,271.8,1.1981,1257.7918,69.8773,3.5301,1418400.0,False
3634,6.0,6.0,48.6,0.5,48.6,0.0,0.9,,0.4,,,,5.3,5.3,,0.5,0.7,,,,0.7,0.7,42.9,0.1,0.7,4.04,5.2,5.5,6.0,,47.7,0.1,0.1,,,0.7,,6.0,6.0,0.0765,0.3192,0.0044,0.5,0.0,0.7,0.7,0.7,0.5,0.0,6000.0,0.1244,0.6154,79.7927,19.1176,1.0896,0.0,,96.3636,96.3636,0.0,,8.3333,0.0,0.0,0.0,0.0,0.0,0.0,28.5714,71.4286,11.6667,11.6667,8.3333,8.3333,8.3333,1.0384,1.0384,1.0384,1.4538,1.0384,1.0384,1.0363,108.3333,0.0,4.5,4.5,0.0,2.5,35.0962,,,,,3.5294,40.0,40.0,,,,,,,,,,False
3635,3109.3,3056.1,1229.4,228.7,1229.4,76.6164,816.1,1137.1,8.5,104.2,,104.2,2667.3,2770.4,103.4,228.7,337.1,43.8,43.6,,388.8,227.8,106.2,342.5,440.5,1028.61,2767.7,2880.6,2672.9,103.4,413.3,242.3,342.5,3056.1,45.5,-496.9,21.9,3101.8,3056.1,191.5737,-24.5745,-1.5992,228.7,0.0,234.0,228.7,285.4,322.4,0.0,1261.2877,2.7553,2.3988,-14.8576,115.8245,0.7289,0.0,43.6,92.5953,96.1744,3.5791,5.0066,7.3554,0.0,1.2032,0.0,23.4733,0.0,23.4052,0.0,51.9183,14.1672,7.3554,7.3554,10.3689,7.1797,,,,91.5043,89.4557,91.8658,19.7342,93.59200000000001,12.767999999999999,0.5707,0.5844,,0.46,72.5463,,,36.1241,0.2168,2.6721,6.3143,11.629000000000001,5.0,14.5875,3919.2,1025.0,1.028,21548.5635,79.9386,5.4982,3338604.0,False
3636,1097.6,990.2,4532.7,-66.8,4532.7,344.091,1736.9,221.4,,294.0,,294.0,1008.6,1040.7,28.0,-66.8,61.0,60.0,1.5,,-18.4,5.4,1114.0,278.5,89.0,593.24,1031.7,1164.4,988.6,28.0,2795.8,20.4,278.5,990.2,83.9,884.1,1801.0,1076.9,990.2,426.0832,-498.1198,-159.6633,-66.8,0.0,28.9,-62.1,-46.4,7.4,,4853.9216,0.3033,-0.2638,214.9848,-183.8943,52.2673,,1.5,86.6197,89.3765,2.7568,0.0644,-6.086,0.0,102.2472,0.0,31.4607,0.0,36.0674,5.2809,-75.0562,8.1086,-5.6578,-6.086,0.6742,-8.1252,-4.7262,-3.6081,0.3997,0.2899,-4.6976,-3.5863,-2.4178,109.3816,16.9267,2.0786,2.0911,0.0045,1.2531,6.3681,,,2.9983,0.6684,1.6484,3.0184,28.9956,10.0,-0.0162,1843.9,71.0,1.1281,7525.321,,4.0927,1117925.0,False
3637,2762.2,2693.9,10227.2,339.1,10227.2,1327.5159,1061.6,343.8,4.8,9.5,,9.5,1956.4,1976.7,292.8,305.9,518.6,4.7,13.2,89.5,744.1,479.1,565.0,8796.8,811.4,1194.74,2227.5,2429.7,2381.6,292.8,9165.6,7081.5,8796.8,2457.4,48.1,195.6,2080.0,2749.8,2700.5,1347.0859,-515.8922,-310.0938,339.1,0.0,498.3,497.7,451.3,577.8,8.3456,38.0414,0.3323,0.16699999999999998,-99.0006,258.5081,-38.7563,8.3456,13.2,80.5202,81.3557,0.8355,9.9605,12.2764,0.0,0.0,0.0739,36.0858,0.0,2.5018,19.5465,41.792,29.3751,18.0182,12.2764,20.9181,11.9172,5.7308,5.9301,10.1045,8.1872,5.6,5.7948,3.9423,123.3368,0.8949,1.1345,1.2641,0.026000000000000002,1.1173,12.9614,1.7425,52.9818,311.4335,5.2067,7.022,0.4583,0.6258,10.0,6.6194,7689.4,405.0,1.0361,22766.945,69.475,5.1159,155816.0,False
3638,44864.3,43747.2,61730.6,2107.8,61730.6,20756.7981,13568.4,11324.0,5.3,1555.3,,1555.3,36842.0,39643.5,1761.0,1715.6,6163.2,488.8,2676.5,4984.5,7002.9,3025.8,699.3,48861.8,7924.2,18016.68,38473.0,42854.2,37349.2,1761.0,48162.2,36800.2,48861.8,,585.4,1123.2,31523.0,44864.0,43844.9,2204.9966,671.0346,35.2687,2107.8,0.0,3361.7,3244.5,5241.9,4417.7,13.2698,118.8776,0.7425,0.9649,23.0493,75.7392,2.7523,15.9076,2676.5,85.9706,92.5079,6.5373,5.1688,4.6982,0.0,0.2171,1.262,22.2231,0.0,35.3537,14.3447,26.5995,17.6626,7.2318,4.6982,9.8468,5.1339999999999995,12.9332,11.8355,24.8058,6.8353,5.2032,4.7615,3.812,88.5652,11.4627,0.5870000000000001,1.0984,1.4136,0.4141,48.5108,2.3988,22.9849,26.7371,4.7343,16.2869,0.9237,1.2148,10.0,42.5742,20440.1,1196.0,1.0651,78552.7763,34.1044,4.1973,2466753.0,False
3639,3758.7,154.1,25923.7,1262.7,25923.7,2278.8145,12856.3,2885.6,0.2,171.8,143.6,171.8,1745.0,1786.6,185.7,863.7,1828.0,505.6,2.0,,-1590.9,1711.4,510.0,1948.3,2013.7,745.26,1879.9,2496.0,150.6,185.7,13067.4,1517.8,1948.3,154.1,3529.6,6778.8,8874.6,3741.4,154.1,116.8446,86.7035,2.8519,1262.7,0.0,1786.4,1774.3,-1776.6,1546.9,26.2533,10.1529,0.1444,0.249,42.0075,56.6108,55.5686,26.2533,2.0,69.9119,71.5785,1.6667,0.4849,33.5941,0.0,0.3774,0.2235,9.2218,0.0,2.0658,25.406,62.7055,53.5744,47.2052,33.5941,41.1552,33.287,9.1909,9.3186,11.4159,12.6299,9.1909,9.3186,4.7847,-1.2377,1.3363,3.0087,3.0432,0.0,2.6553,245.825,,,0.8249,0.1301,5.8087,0.0737,0.08800000000000001,10.0,28.8637,14475.9,1307.0,1.0605,65344.2102,53.2019,4.597,1893751.0,False
3640,621.7,612.2,1813.7,0.3,1813.7,510.2138,1118.3,1009.3,4.5,226.4,152.1,226.4,594.9,595.0,14.2,0.3,5.2,3.3,,262.6,9.9,0.0,109.6,627.8,19.4,573.2,609.1,614.0,596.0,14.2,695.4,130.2,627.8,2.1,4.4,-113.8,424.7,617.8,604.8,-0.9862,16.0122,-0.026000000000000002,0.3,0.0,5.1,5.1,-4.3,16.3,0.0,470.1997,0.3431,-5.0847,106.7482,-6.5747,-0.9169,0.0,,96.8893,96.9055,0.0163,0.0,0.0483,0.0,0.0,0.0,73.1959,0.0,0.5155,24.7423,1.5464,3.1205,0.8203,0.0483,2.6218,-0.5827,-0.9506,0.0792,4.3042,0.0,-0.23,0.0192,-0.1987,100.8613,20.245,0.345,0.8872,3.1283,0.051,30.8611,2.4754,,2.3058,3.1266,26.7446,0.9766,4.4899,10.0,1.5966,388.7,83.45,1.2,874.6644,37.1411,2.2502,1077832.0,False
3641,93062.0,89952.6,115658.6,583.4,115658.6,29748.2357,33425.5,50136.0,122.4,8161.5,1274.6,8161.5,80163.1,90219.7,3079.8,583.4,11057.5,2492.3,9559.5,17546.8,11027.9,717.5,1049.0,69895.9,14137.3,69759.27,82008.3,93717.0,83379.6,3079.8,82233.1,63915.6,69895.9,1467.6,2826.0,-20864.9,46664.8,92797.9,91191.0,-7147.3063,32710.6283,-3302.1220000000003,583.4,0.0,1000.9,887.1,7948.1,3927.7,0.0,140.7365,0.685,-1.4592,146.9401,-32.1066,-15.0725,0.0,9559.5,85.5374,96.2682,10.7308,0.2539,0.6269,0.0,0.3636,0.4414,21.7849,0.0,71.1352,2.1482,4.1267,15.1913,0.9532,0.6269,4.2205,0.3441,1.8906,3.4543,23.2559,0.7475,0.3327,0.6078,0.235,98.7228,24.416999999999998,0.2257,0.5946,3.2618,0.0054,1.2053,10.9637,8.6932,10.3325,4.1794,90.5699,1.2912,1.38,2.0,5.8869,20218.3,126.0,1.1325,56998.9652,109.2829,2.8578,6847664.0,False
