,sa_total_income,sa_sales,sa_total_assets,sa_pat,sa_total_liabilities,sa_gross_working_capital_cosm,sa_current_assets_incl_st_invest_loans,sa_current_liabilities,sa_cash_bal,sa_st_trade_bills_receivables,sa_debtors_more_6m,sa_st_trade_receivables,sa_nf_operating_expenses,sa_f_operating_expenses,sa_dep_owned_ast,sa_retained_profits,sa_pbit,sa_interest_inc,sa_interest_exp,sa_st_inventories,sa_pbdita_net_of_peoifi,sa_pbpt_net_of_peoi,sa_total_capital,sa_gross_fixed_assets,sa_pbdita,sa_cost_of_goods_sold,sa_cost_of_sales,sa_total_expense,sa_net_sales,sa_depreciation,sa_non_current_assets,sa_net_fixed_assets,sa_gross_fixed_assets.1,sa_non_fin_services_inc,sa_inc_fin_serv,sa_net_working_capital,sa_non_current_liabilities,sa_tot_inc_net_of_pe,sa_sales_n_chg_in_stk,sa_chg_in_assets_with_no_chg_in_efficiency,sa_chg_in_efficiency_with_no_chg_in_assets,sa_chg_in_efficiency_on_chg_in_assets,sa_reported_pat,sa_diff_in_pat,sa_pbpt,sa_pbt,sa_pbit_net_of_peoifi,sa_cash_profit,sa_equity_div_inc_dist_pc_pat,sa_sales_net_fixed_assets,sa_total_income_avg_tot_asset_net_miscexp_now_reval,sa_chg_in_efficiency_in_use_of_assets,sa_pc_chg_in_efficiency_with_no_chg_in_assets,sa_pc_chg_in_assets_with_no_chg_in_efficiency,sa_pc_chg_in_efficiency_on_chg_in_assets,sa_total_div_pc_pat,sa_total_interest_exp,sa_nf_oper_exp_pc_total_exp,sa_f_oper_exp_pc_total_exp,sa_fin_serv_exp_pc_total_exp,sa_pbpt_net_of_peoi_inc_fin_serv,sa_pat_cont_ops_pc_inc_cont_ops,sa_pat_discont_ops_pc_inc_discont_ops,sa_total_provisions_pc_pbdita,sa_write_offs_pc_pbdita,sa_depreciation_pc_pbdita,sa_amortisation_pc_pbdita,sa_fin_serv_exp_pc_pbdita,sa_prov_direct_tax_pc_pbdita,sa_pat_pc_pbdita,sa_pbdita_pc_total_inc,sa_pbt_pc_total_inc,sa_pat_pc_total_inc,sa_cash_profit_pc_total_inc,sa_pat_net_of_pe_pc_tot_inc_net_of_pe,sa_pat_net_of_pe_pc_avg_networth,sa_pat_pc_avg_networth,sa_cash_profit_pc_avg_networth,sa_pbpt_net_of_peoi_pc_avg_capital_employed,sa_pat_net_of_pe_pc_avg_capital_employed,sa_pat_pc_avg_capital_employed,sa_pat_net_of_pe_pc_avg_tot_asset_net_menow_reval,sa_pc_chg_in_profitability_with_no_chg_in_income,sa_st_trade_bills_receivables_pc_current_assets_incl_st_invest_loans,sa_quick_ratio,sa_current_ratio,sa_debt_equity,sa_cash_n_bank_no_fd_security_current_liab_n_prov,sa_cash_n_bank_no_fd_security_cost_of_sales_per_day,sa_rawmat_stores_spares_avg_stk_rawmat_stores,sa_cost_of_goods_sold_avg_stk_fg,sa_sales_avg_debtors,sa_creditors_turnover,sa_total_inc_net_of_pe_compensation_to_empl,sa_sales_avg_gfa_net_of_reval,sa_sales_net_repairs_avg_nfa_net_of_reval,equity_facevalue_on_stkdate,eps_on_stkdate,equity_bv_on_stkdate,high_price,stock_returns,market_cap,pe,pb,traded_qty,delisted
0,3741.8,3729.3,3661.4,131.6,3661.4,1606.7038,1557.9,1399.7,1.6,548.6,,548.6,3177.5,3405.7,89.8,131.6,429.8,5.6,216.8,591.7,509.0,196.6,176.4,2384.5,519.6,2360.19,3319.6,3567.4,3569.9,89.8,2103.5,1560.3,2384.5,18.5,5.6,-40.0,901.1,3738.3,3686.5,198.5575,14.809000000000001,0.8336,131.6,0.0,201.6,193.2,419.2,247.7,0.0,239.0117,1.0683,1.1476,6.9136,92.6972,1.2432,0.0,216.8,89.0705,95.4673,6.3968,35.1071,3.517,0.0,1.5012,0.1155,17.2825,0.0,43.9184,11.8553,25.3272,13.8864,5.1633,3.517,6.6198,3.4775,12.9039,13.0627,24.5868,7.8308,5.178,5.2418,3.7114,75.0796,35.2141,0.517,0.9745,1.2375,0.0499,10.7094,3.9417,12.2575,6.7237,4.0576,11.3042,1.6411,2.5176,5.0,4.4295,1250.3,63.95,1.1995,2214.228,21.6022,1.771,2699921.0,False
1,1330.2,1314.2,784.4,-164.6,784.4,427.8439,531.2,363.0,7.1,356.7,154.4,356.7,1316.5,1363.3,27.4,-164.6,-12.1,3.8,43.5,6.7,-0.7,-71.0,54.1,624.0,15.3,1204.75,1344.2,1496.4,1282.6,27.4,253.2,222.8,624.0,1194.9,3.9,85.3,143.5,1319.8,1315.8,-205.8565,151.4126,-22.1561,-165.2,0.6,-58.9,-177.5,-28.1,-32.1,,589.8564,1.5181,0.51,-197.6666,268.7421,42.7933,,43.5,87.9778,91.1053,3.1275,-18.2051,-12.3741,0.0,0.0,775.1634,179.085,0.0,305.8824,-84.3137,-1075.817,1.1502,-13.3439,-12.3741,-2.4132,-13.2596,-47.2781,-44.4685,-8.6722,-10.1371,-24.9857,-23.5009,-19.9715,103.40299999999999,67.1498,1.1895,1.2312,1.2151,0.0661,7.1143,0.0,276.954,3.1779,18.1519,13.3854,2.0404,5.3674,10.0,-13.254,444.8,116.0,1.1344,606.73,,2.4797,301308.0,False
2,1428.0,1423.1,365.3,6.2,365.3,193.9525,318.2,152.1,0.1,160.4,,160.4,1447.6,1450.2,2.4,6.2,11.9,3.1,1.0,33.9,9.4,7.5,117.6,40.1,14.3,1385.4,1416.1,1455.7,1423.1,2.4,47.1,18.7,40.1,1423.1,3.1,125.8,1.3,1426.3,1457.0,-143.8839,546.4505,-71.6666,6.2,0.0,9.3,9.3,7.0,8.6,0.0,7610.1604,3.5307,-5.4201,165.1407,-43.4826,-21.9672,0.0,1.0,99.4436,99.6222,0.1786,2.4194,0.4342,0.0,0.0,0.0,16.7832,0.0,18.1818,21.6783,43.3566,1.0014,0.6513,0.4342,0.6022,0.3155,2.6239,3.6152,5.0146,2.1555,1.2933,1.7819,1.1126,449.1552,50.4085,1.452,1.6642,0.7646,0.3173,15.4908,,81.7345,8.0175,1085.9231,185.2338,35.9369,77.5531,10.0,4.898,176.8,213.6,1.05,2287.32,508.2933,13.1003,4226.0,False
3,1125.8,1096.7,2048.2,183.3,2048.2,136.0677,1493.4,34.2,0.6,154.4,,154.4,814.1,816.6,26.7,153.2,284.8,20.5,0.2,,282.6,281.3,102.4,502.7,311.5,534.93,828.8,942.5,944.0,26.7,554.8,476.9,502.7,1096.7,27.9,866.6,97.5,1125.8,1096.7,362.0622,-89.3067,-36.3555,183.3,0.0,282.3,282.3,255.9,209.2,13.6388,229.9644,0.7087,0.5144,-37.7778,153.1566,-12.1414,13.6388,0.2,86.3767,86.6419,0.2653,10.0824,16.2818,0.0,0.0,0.0,8.5714,0.0,0.8026,31.7817,58.8443,27.6692,25.0755,16.2818,18.5823,16.2995,15.6343,15.6173,17.824,23.9669,15.6343,15.6173,11.5511,-426.6507,10.3388,2.278,2.4256,0.0,0.9916,213.7681,,,6.0911,10.5663,3.7328,2.6376,2.9331,5.0,9.8889,1418.4,176.0,1.0759,3400.3740000000007,17.191,2.9425,134091.0,False
4,87.4,86.9,154.0,-5.7,154.0,10.7811,20.4,19.5,0.1,19.6,,19.6,68.8,68.8,26.8,-5.7,-8.2,0.5,,,18.1,-8.2,91.6,253.8,18.6,91.54,95.6,93.1,86.9,26.8,133.6,46.3,253.8,86.9,0.5,-15.5,,87.4,86.9,-8.1316,-60.9009,3.2325,-5.7,0.0,-8.2,-8.2,-8.7,18.5,,187.68900000000002,0.5599,7.52,92.5546,12.3581,-4.8723,,,73.899,73.899,0.0,-16.4,-6.5217,0.0,0.0,0.0,144.086,0.0,0.0,-13.4409,-30.6452,21.2815,-9.3822,-6.5217,21.166999999999998,-6.5217,-4.7049,-4.7049,15.2703,-6.7685,-4.7049,-4.7049,-3.6515,-376.8116,96.0784,0.5658,0.5658,0.0,0.0084,1.1454,,,8.8673,3.5266,54.625,0.3425,1.4568,10.0,-0.6113,134.6,2.45,1.05,21.9862,,0.1774,82985.0,False
5,146.4,140.4,265.9,2.1,265.9,48.0659,221.6,102.4,0.1,96.9,,96.9,139.0,139.3,,2.1,3.1,6.0,,37.6,-2.9,2.8,110.5,0.2,3.1,136.8,139.0,140.0,140.2,,44.3,0.2,0.2,136.0,6.0,116.4,,146.4,136.1,3.1351,102.3833,30.2815,2.1,0.0,2.8,2.8,-2.9,2.8,0.0,70200.0,0.6737,2.7379,75.3927,2.3086,23.4094,0.0,,99.2857,99.5,0.2143,0.4667,1.4344,0.0,0.0,0.0,0.0,0.0,9.6774,22.5806,67.7419,2.1175,1.9126,1.4344,1.9126,1.4344,1.2923,1.2923,1.7231,1.7231,1.2923,1.2923,0.9664,2.6025,43.7274,0.96,2.1367,0.0,0.0078,2.1007,,,2.8919,2.7959,58.56,702.0,702.0,1.0,0.0217,164.8,12.2,1.0956,1304.8975,7789.6084,7.947,2704922.0,False
6,1615.7,1605.2,1941.9,107.2,1941.9,2164.6327,1641.7,1187.2,0.3,788.0,205.1,788.0,1112.7,1263.3,35.7,93.5,332.4,8.5,128.1,475.6,357.6,179.8,91.4,443.8,368.1,872.87,1280.0,1373.6,1605.0,35.7,300.2,286.6,443.8,1577.0,8.5,109.4,141.7,1615.7,1470.3,314.3433,34.2121,8.5447,107.2,0.0,181.8,159.1,321.9,168.3,10.6343,560.0837,0.8691,0.9612,9.5805,88.0267,2.8964,10.6343,128.1,81.0061,91.97,10.9639,21.1529,6.6349,0.0,0.0,6.1668,9.6985,0.0,40.9128,14.0994,29.1225,22.7827,9.8471,6.6349,10.4165,6.6349,22.174,22.174,34.8123,12.175,7.2589,7.2589,5.7667,26.4186,47.998999999999995,0.7007,1.0862,1.9358,0.0267,9.6668,,7.8109,2.3447,2.2887,5.2732,3.7952,5.6651,10.0,11.7309,695.5,206.0,1.1429,2133.0447,44.6244,3.5579,295500.0,False
7,1724.2,1665.8,2424.3,123.7,2424.3,581.9771,905.7,173.5,5.6,314.2,1.1,314.2,1457.9,1467.3,71.2,123.7,204.2,2.6,3.6,265.0,217.4,182.9,215.8,1327.0,275.4,1107.02,1514.5,1610.0,1652.7,71.2,1518.6,668.7,1327.0,137.2,46.1,673.8,291.4,1718.3,1675.3,60.3884,13.2275,0.4841,123.7,0.0,194.8,190.0,146.2,196.4,0.0,249.1102,0.7099,0.8641,17.8509,81.4958,2.6535,0.0,3.6,90.5528,91.1366,0.5839,3.9675,7.1743,0.0,0.0,1.7429,25.8533,0.0,3.4132,24.0741,44.9165,15.9726,11.0196,7.1743,11.3908,6.8789,6.1385,6.4241,10.1997,9.1933,5.9412,6.2176,4.8665,117.8332,34.6914,3.0543,4.8481,0.0282,0.8909,22.7748,20.5036,41.1532,5.3212,10.8544,12.4695,1.2729,2.4309,10.0,7.1127,2054.7,347.5,1.1589,7071.7473,55.192,3.4417,5348640.0,False
8,61.2,55.2,84.8,-5.2,84.8,84.1312,54.9,53.1,0.2,19.6,5.1,19.6,44.3,49.8,1.6,-5.2,-0.6,1.0,4.4,21.3,-4.6,-10.5,22.4,23.1,1.0,43.83,61.4,50.9,55.0,1.6,29.9,13.8,23.1,39.9,1.2,-3.2,12.4,61.1,39.7,8.2914,-61.6895,-4.3019,-5.2,0.0,-6.1,-6.3,-6.2,-4.6,,400.0,0.5428,-7.8503,106.9143,-14.3699,7.2018,,4.4,87.0334,97.8389,10.8055,-8.75,-8.4967,0.0,0.0,20.0,160.0,0.0,550.0,-110.0,-520.0,1.6340000000000001,-10.2941,-8.4967,-7.5163,-8.0196,-22.3744,-23.7443,-21.0046,-16.1043,-7.5153,-7.9755,-4.3459,139.9599,35.7013,0.4275,0.9397,2.1813,0.0452,79.658,,1.5088,1.4136,0.4841,3.0099,2.3691,2.8716,,,,,,,,,,False
9,18.4,0.2,108.6,12.3,108.6,732.875,106.5,66.3,0.9,44.1,4.6,44.1,5.0,5.5,0.5,12.3,12.9,0.3,0.1,36.9,-4.8,12.4,40.0,2.7,13.4,2.14,5.5,6.1,0.2,0.5,2.1,2.1,2.7,0.2,18.2,40.2,1.1,18.4,0.2,106.4068,-170.8769,-99.6299,12.3,0.0,12.4,12.4,-5.3,12.8,0.0,9.5238,0.2627,-6.3605,104.1297,-64.8426,60.0734,0.0,0.1,81.9672,90.1639,8.1967,0.6813,66.8478,0.0,0.0,0.0,3.7313,0.0,3.7313,0.7463,91.791,72.8261,67.3913,66.8478,69.5652,66.8478,35.0927,35.0927,36.5193,31.5924,31.3376,31.3376,17.5589,1014.1439999999999,41.4085,0.6848,1.6063,0.1699,0.0151,66.3636,,,0.0075,0.0133,12.2667,0.1429,0.1818,10.0,3.075,41.2,8.0,1.0606,31.2,138.6,1.2376,150417.0,False
10,22612.9,21224.0,28393.7,4173.1,28393.7,8076.5015,20655.9,3058.8,0.9,6610.1,,6610.1,16153.8,16215.1,712.9,3730.2,6271.9,19.5,38.9,2991.1,5598.4,6179.0,188.6,7827.3,6984.8,13974.63,16272.0,18968.0,20620.7,712.9,7737.8,6498.3,7827.3,,1354.8,16099.1,927.4,22612.9,21752.2,4102.9447,-3324.0239,-607.7207,4173.1,0.0,6210.6,6210.6,4885.5,5203.5,9.0412,326.6085,0.8579,0.042,-1941.6028,2396.5798,27.9234,9.0412,38.9,85.1634,85.4866,0.3232,4.5608,18.4545,0.0,0.0,0.0,10.2064,0.0,0.8776,29.1705,59.7454,30.8886,27.4649,18.4545,23.0112,18.4656,18.6685,18.6573,23.2641,25.8364,17.4595,17.4491,15.8413,101.6926,32.001,4.9946,5.9603,0.0579,2.9221,5.2354,6.6412,,3.9885,13.3349,29.2383,2.4272,3.2607,2.0,51.0685,25861.6,1709.75,1.0685,157967.7557,36.3295,6.4657,741429.0,False
11,1888.0,1861.5,1970.2,-1.5,1970.2,1242.0578,1231.3,1030.0,0.7,203.8,,203.8,1753.0,1859.1,28.3,-7.9,111.3,20.8,92.6,531.5,113.1,2.7,107.1,455.3,139.6,1245.36,1774.7,1894.1,1697.8,28.3,738.9,427.9,455.3,,24.0,122.7,487.6,1886.5,1866.1,10.3713,-308.8075,-1.4638,-1.5,0.0,5.2,-1.3,84.8,29.3,,435.0315,0.9527,-32.0749,102.9701,-3.4583,0.419,,103.0,92.5506,98.1522,5.6016,0.1125,-0.0794,0.0,0.0,4.6562,20.2722,0.0,76.0029,0.1433,-1.0745,7.3941,-0.0689,-0.0794,1.5519,-0.159,-0.6893,-0.3446,6.7318,0.1961,-0.2179,-0.1089,-0.1514,66.6275,16.5516,0.2551,1.117,2.2235,0.0377,8.1239,3.0477,7.6945,9.1519,3.8728,10.3483,2.5061,4.5073,10.0,0.0375,461.4,99.95,1.05,1065.6094,2664.0236,2.3095,1487.0,False
12,962.6,29.3,7723.8,243.7,7723.8,616.4887,3925.6,3636.2,0.9,29.3,,29.3,342.7,577.8,15.7,243.7,601.7,237.2,230.1,,-313.4,368.9,66.0,502.7,617.4,147.33,350.4,718.9,25.5,15.7,3798.2,353.0,502.7,29.3,933.1,247.6,531.1,962.6,29.3,144.1225,76.9966,15.2808,243.7,0.0,366.6,360.1,-329.1,264.8,0.0,8.3003,0.1446,0.2144,32.5705,60.9655,65.0789,0.0,230.1,47.6701,80.3728,32.7027,0.3953,25.3169,0.0,0.0,1.0528,2.5429,0.0,38.079,18.8533,39.472,64.1388,37.4091,25.3169,27.5088,25.5766,7.171,7.0982,7.7128,5.8851,3.9276,3.8878,3.6973,7.0361,0.7464,1.0678,1.0681,1.08,1.0445,7.3958,,,0.5684,0.1553,6.1705,0.0588,0.0824,10.0,44.1212,3699.2,635.0,1.1999,4078.14,15.5255,1.1184,148029.0,False
13,533.4,529.6,346.3,21.0,346.3,157.4013,159.1,169.5,,108.7,2.8,108.7,466.5,476.3,21.0,21.0,40.8,3.1,9.2,34.3,58.0,30.3,50.3,398.6,61.8,399.63,492.1,507.3,525.1,21.0,187.2,176.1,398.6,,3.1,-10.4,32.8,532.7,524.5,-1.7291,6.7512,-0.0221,21.0,0.0,31.0,31.0,37.0,45.0,0.0,300.7382,1.5919999999999999,-4.5455,135.024,-34.5822,-0.7167,0.0,9.2,91.9574,93.8892,1.9318,9.7742,3.937,0.0,0.0,0.0,33.9806,0.0,15.8576,16.1812,33.9806,11.5861,5.8118,3.937,8.4364,3.8108,15.2003,15.7244,33.6952,13.0267,8.7274,9.0284,6.0588,89.2028,68.3218,0.7257,0.9386,0.6785,0.07200000000000001,9.049,16.0769,17.1884,5.1368,4.8605,4.053999999999999,1.4134,3.2803,10.0,4.0543,155.2,84.35,1.05,424.4281,21.8777,2.8352,9450.0,False
14,927.0,898.6,1616.8,-1055.9,1616.8,1458.5944,559.7,1606.5,1.1,219.9,87.5,219.9,1333.8,1421.1,96.6,-1055.9,-920.0,2.6,86.7,205.5,-814.0,-1030.1,160.9,1338.9,-788.6,1630.45,1809.0,1604.1,884.8,96.6,1057.1,814.7,1338.9,10.8,2.6,-1123.0,297.2,903.4,519.8,,,,-1055.9,0.0,-1007.3,-1084.7,-945.4,-875.9,,110.2983,0.4253,,,,,,86.7,83.1494,88.5917,5.4423,-396.1923,-113.9051,0.0,0.0,-9.8149,-12.2496,-4.4129,-11.0703,3.6519999999999997,133.8955,-85.0701,-117.0119,-113.9051,-94.4876,-119.1609,-569.5767,-558.6772,-463.4392,-66.9505,-69.9662,-68.6273,-49.3853,187.3051,39.2889,0.1546,0.305,,0.0043,1.4124,4.4559,13.4692,2.5863,1.4329,7.3387,0.6509999999999999,1.0346,10.0,-41.4419,-50.1,13.49,1.2,206.7565,,,563318.0,False
15,2583.7,2476.1,2791.8,160.3,2791.8,805.17,865.7,513.2,0.2,276.4,,276.4,2355.2,2379.1,42.0,121.0,255.7,35.6,22.9,464.9,190.1,222.3,43.2,1345.0,297.7,2052.3,2320.1,2492.6,2486.5,42.0,1926.1,1303.1,1345.0,,98.1,300.3,475.9,2574.5,2545.3,841.3998,-734.3775,-228.4223,160.3,0.0,231.8,231.8,148.1,223.0,20.2121,190.0161,1.1038,-0.2186,604.9238,-693.0806,172.0922,20.2121,23.1,94.4877,95.4465,0.9588,2.2661,6.2043,0.0,0.0,0.0,14.1082,0.0,8.0282,24.0175,53.8462,11.5222,8.9716,6.2043,8.631,5.8691,9.9526,10.5586,14.6884,11.8931,8.0839,8.5761,6.4551,73.24,31.9279,0.5835,1.5696,0.2315,0.048,2.407,10.0943,8.3614,9.5326,21.1879,7.108,1.7784,2.6562,2.0,7.7367,1853.3,84.4,1.1995,1708.378,15.0784,1.0795,370194.0,False
16,54.1,17.7,551.5,1.6,551.5,4.5678,551.4,39.9,0.1,3.0,,3.0,32.8,47.7,0.2,1.6,21.0,36.2,,24.9,-15.1,6.0,505.0,1.0,21.2,27.49,33.0,52.5,17.7,0.2,0.1,0.1,1.0,17.7,36.2,510.9,1.1,53.9,17.7,1.3539,19.8106,0.8355,1.4,0.2,6.1,2.2,-15.3,5.5,0.0,17700.0,0.1016,1.0209,90.0482,6.1539,9.9518,0.0,,62.4762,90.8571,28.381,0.1657,2.9575,0.0,0.0,18.3962,0.9434,0.0,70.283,2.8302,7.5472,39.1867,4.0665,2.9575,10.1664,2.7829,0.2946,0.3143,1.0803,1.1786,0.2946,0.3143,0.2817,150.5566,0.5441,0.4765,13.6148,0.0,0.2395,38.7121,,,7.2245,1.2745,29.9444,18.6316,118.0,10.0,0.0297,509.8,23.5,1.05,1166.4345,777.623,2.2880000000000003,1228016.0,False
17,19918.7,19453.9,20863.6,1626.9,20863.6,721.0969,11858.1,2851.8,16.7,989.0,325.3,989.0,15459.0,16476.8,776.6,1626.9,3621.8,352.6,952.8,,3994.9,2558.3,1065.9,7805.6,4398.4,14200.58,16214.7,18291.8,19418.0,776.6,9005.5,2877.3,7805.6,19453.9,357.8,-13062.8,1117.2,19867.4,19453.9,-4966.6398,2326.1363,-500.9966,1626.9,0.0,2604.0,2487.9,3218.3,2506.3,0.0,676.1165,1.0376,0.5962,-74.0454,158.0977,21.3275,0.0,952.8,84.5133,90.0775,5.5642,7.1501,8.1677,0.0,1.7074,0.9322,17.6564,0.0,23.1402,19.5753,36.9885,22.0818,12.4903,8.1677,12.5826,8.2391,85.6904,85.1669,131.2027,133.9249,85.6904,85.1669,8.5267,89.63,8.3403,0.1903,0.2243,0.0,0.1308,49.631,,,22.4862,7.1079,35.2885,2.7169,7.425,1.0,2.4657,2754.2,111.0,1.0833,116990.0873,200.7277,42.8786,81483823.0,False
18,752.6,742.0,732.2,68.6,732.2,83.7755,516.7,36.7,,100.4,36.0,100.4,627.0,638.4,15.8,53.5,109.8,2.5,11.4,,115.0,97.2,50.0,76.2,125.6,398.97,636.9,684.0,741.3,15.8,215.5,60.8,76.2,742.0,9.4,472.6,31.8,752.6,742.0,-75.172,-56.2362,4.8082,68.6,0.0,98.4,98.4,99.2,79.5,18.2216,1220.3947,0.8992,1.6179,44.4204,59.3776,12.9982,18.2216,11.4,91.6667,93.3333,1.6667,10.3404,9.1151,0.0,0.0,0.0,12.5796,0.0,9.0764,23.7261,54.6178,16.6888,13.0747,9.1151,10.5634,9.1151,12.5733,12.5733,14.5711,15.2902,10.7913,10.7913,8.1964,90.6656,19.430999999999997,9.8474,13.8774,0.0143,5.7221,36.1046,,,7.6025,3.0758,1.665,6.2748,11.0664,10.0,14.02,615.5,148.0,1.0784,709.5,10.1213,1.2729,14004.0,False
19,0.8,0.4,164.9,-9.3,164.9,1.725,27.3,33.6,0.1,0.1,0.1,0.1,5.7,6.6,1.2,-9.3,-8.4,0.4,,,-5.3,-7.0,157.8,174.6,-7.2,3.56,6.9,10.1,0.4,1.2,137.6,14.5,174.6,0.4,0.4,-12.0,95.5,0.8,0.4,-0.0201,-0.4874,0.0075,-9.3,0.0,-9.3,-9.3,-6.5,-8.1,,2.7586,0.0047,0.1887,97.4837,4.0257,1.2776,,,56.4356,65.3465,8.9109,-17.5,-1162.5,0.0,0.0,0.0,-16.6667,0.0,-12.5,0.0,129.1667,-900.0,-1162.5,-1162.5,-1012.5,-875.0,-17.3053,-22.9913,-20.0247,-5.1527,-5.1527,-6.8458,-4.1543,100.0,0.3663,0.0298,0.6429,2.6676,0.0238,42.3188,,,4.0,0.0134,0.2667,0.0023,0.0266,4.0,-0.1496,39.2,0.4,1.3333,15.78,,0.4026,268027.0,False
20,40.9,27.6,117.1,3.9,117.1,0.0,2.3,20.1,0.1,,,,32.5,34.6,0.6,3.9,7.8,13.3,1.8,,-4.9,5.7,59.8,5.1,8.4,27.2,33.1,37.0,27.6,0.6,114.8,2.9,5.1,27.6,13.3,-18.6,13.5,40.9,27.6,4.6109,9.3739,1.7152,3.9,0.0,5.7,5.7,-5.5,5.2,0.0,951.7241,0.3657,0.9075,59.7066,29.3687,35.8648,0.0,1.8,87.8378,93.5135,5.6757,0.4286,9.5355,0.0,0.0,0.0,7.1429,0.0,25.0,21.4286,46.4286,20.5379,13.9364,9.5355,12.7139,9.5355,4.7823,4.7823,6.3765,5.5637,3.8067,3.8067,3.4868,144.0314,0.0,0.0746,0.0746,0.2874,0.0746,16.5408,,,,,25.5625,5.3592,8.4923,10.0,1.0704,87.1,13.9,1.05,83.1081,19.6847,1.016,4100.0,False
21,22.0,20.7,15.2,-4.0,15.2,7.5568,9.7,3.3,0.4,2.5,1.2,2.5,28.9,29.2,0.5,-4.0,-3.7,,,5.8,-4.5,-5.3,10.4,5.4,-3.2,19.42,25.6,29.7,20.7,0.5,5.5,4.7,5.4,20.7,,5.7,,22.0,24.4,-2.4036,6.5448,-0.8412,-4.0,0.0,-4.0,-4.0,-5.0,-3.5,,440.4255,1.2979,-1.32,198.3284,-72.8363,-28.9976,,,97.3064,98.3165,1.0101,,-18.1818,0.0,0.0,0.0,-15.625,0.0,-9.375,0.0,125.0,-14.5455,-18.1818,-18.1818,-15.9091,-18.1818,-28.776999999999997,-28.776999999999997,-25.1799,-38.1295,-28.776999999999997,-28.776999999999997,-23.5988,91.5493,25.7732,0.9697,2.7273,0.0,0.2121,9.9805,,4.9165,10.8947,10.5556,5.641,5.52,6.3692,10.0,-0.8621,15.1,22.45,1.05,23.4383,,1.8731,500.0,False
22,13.5,13.5,38.3,4.7,38.3,11.4422,30.9,0.8,0.1,15.7,11.2,15.7,11.4,13.4,,4.7,2.1,,,,2.1,0.1,44.7,0.1,2.1,10.51,11.4,8.8,13.5,,7.4,0.0,0.1,13.5,,29.7,,13.5,13.5,2.9172,-29.671,-2.0463,4.7,0.0,0.1,0.1,2.1,0.1,0.0,,0.3787,-12.5217,103.0242,-10.1293,7.1051,0.0,,129.5455,152.2727,22.7273,,34.8148,0.0,0.0,0.0,0.0,0.0,95.2381,-219.0476,223.8095,15.5556,0.7407,34.8148,0.7407,34.8148,13.3523,13.3523,0.2841,0.2841,13.3523,13.3523,13.1837,317.971,50.8091,20.25,38.125,0.0,0.375,9.6053,,,0.9963,32.3333,11.25,135.0,,10.0,-0.0489,29.3,9.19,1.0491,37.5935,,1.2831,1.0,False
23,3137.7,3078.6,2730.0,279.3,2730.0,1468.2564,1941.4,206.4,0.2,629.1,,629.1,2524.0,2534.9,69.7,206.0,434.1,2.4,4.2,805.0,444.7,423.0,152.3,643.2,503.8,2352.72,2695.0,2748.5,3060.5,69.7,788.6,574.3,643.2,,58.9,1690.1,140.5,3137.6,2968.7,197.2051,236.9028,17.392,279.3,0.0,423.2,419.1,375.0,360.4,26.2442,536.0613,1.2056,2.5365,52.4702,43.6778,4.748,26.2442,4.2,91.8319,92.2285,0.3966,7.1817,8.9014,0.0,0.5955,0.2183,13.8349,0.0,2.1636,27.7491,55.4387,16.0563,13.3569,8.9014,11.4861,8.8985,12.5449,12.5494,16.1934,19.0061,12.5449,12.5494,10.7277,14.9196,32.4045,4.7918,8.3006,0.0,1.9793,10.8078,6.598,4.8837,5.6153,16.1663,11.4012,3.7112,5.3295,1.0,1.8498,2459.7,62.25,1.1478,9205.5678,37.5737,3.7426,4927570.0,False
24,152.8,152.3,180.9,-2.1,180.9,84.7378,69.1,74.1,0.1,41.7,5.8,41.7,135.4,146.1,12.3,-2.1,9.3,0.3,10.1,21.2,21.2,-1.5,15.0,255.2,21.7,90.57,143.4,159.2,137.1,12.3,111.8,94.1,255.2,,0.4,-11.6,64.6,152.7,156.6,-2.8861,25.4476,-0.5615,-2.1,0.0,-1.4,-1.4,8.8,11.0,,161.8491,0.8513,-5.4321,115.6708,-13.1185,-2.6225,,10.1,85.0503,91.7714,6.7211,-3.75,-1.3743,0.0,0.0,0.0,56.681999999999995,0.4608,49.3088,3.2258,-9.6774,14.2016,-0.9162,-1.3743,7.199,-1.4407,-5.914,-5.6452,29.5699,-1.0799,-1.5839,-1.5119,-1.2256,117.5289,60.3473,0.5718,0.8552,2.6768,0.0499,10.1813,4.2083,12.7563,4.0505,2.7105,3.4009,0.6004,1.5431,10.0,-1.4703,36.1,57.0,1.0499,85.2913,,2.4509,1265.0,False
